Record Date,Federal Tax Deposit Type,Federal Tax Deposit Type Description,Federal Tax Deposits Today,Federal Tax Deposits Month to Date,Federal Tax Deposits Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-10-25,Federal Unemployment Taxes,null,12,90,90,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,25
2021-10-25,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,127,127,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,25
2021-10-25,Cash Federal Tax Deposits,Direct,40,1002,1002,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,25
2021-10-25,Cash Federal Tax Deposits,Through Depositaries,17800,215333,215333,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,25
2021-10-25,Inter-agency Transfers,null,78,9126,9126,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,25
2021-10-22,Withheld Income and Employment Taxes,null,6839,175452,175452,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,22
2021-10-22,Individual Income Taxes,null,284,14660,14660,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,22
2021-10-22,Railroad Retirement Taxes,null,16,294,294,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,22
2021-10-22,Excise Taxes,null,57,1566,1566,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,22
2021-10-22,Corporation Income Taxes,null,74,15369,15369,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,22
2021-10-22,Federal Unemployment Taxes,null,6,78,78,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,22
2021-10-22,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,124,124,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,22
2021-10-22,Cash Federal Tax Deposits,Direct,59,962,962,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,22
2021-10-22,Cash Federal Tax Deposits,Through Depositaries,7207,197533,197533,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,22
2021-10-22,Inter-agency Transfers,null,12,9048,9048,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,22
2021-10-21,Withheld Income and Employment Taxes,null,3355,168613,168613,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,21
2021-10-21,Individual Income Taxes,null,269,14376,14376,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,21
2021-10-21,Railroad Retirement Taxes,null,6,278,278,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,21
2021-10-21,Excise Taxes,null,37,1509,1509,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,21
2021-10-21,Corporation Income Taxes,null,143,15295,15295,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,21
2021-10-21,Federal Unemployment Taxes,null,5,72,72,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,21
2021-10-21,Estate and Gift Taxes & Misc IRS Rcpts.,null,4,123,123,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,21
2021-10-21,Cash Federal Tax Deposits,Direct,36,903,903,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,21
2021-10-21,Cash Federal Tax Deposits,Through Depositaries,3526,190326,190326,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,21
2021-10-21,Inter-agency Transfers,null,257,9036,9036,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,21
2021-10-20,Withheld Income and Employment Taxes,null,10689,165258,165258,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,20
2021-10-20,Individual Income Taxes,null,361,14107,14107,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,20
2021-10-20,Railroad Retirement Taxes,null,2,272,272,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,20
2021-10-20,Excise Taxes,null,43,1471,1471,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,20
2021-10-20,Corporation Income Taxes,null,331,15152,15152,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,20
2021-10-20,Federal Unemployment Taxes,null,14,66,66,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,20
2021-10-20,Estate and Gift Taxes & Misc IRS Rcpts.,null,13,119,119,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,20
2021-10-20,Cash Federal Tax Deposits,Direct,77,867,867,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,20
2021-10-20,Cash Federal Tax Deposits,Through Depositaries,11366,186800,186800,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,20
2021-10-20,Inter-agency Transfers,null,10,8779,8779,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,20
2021-10-19,Withheld Income and Employment Taxes,null,2717,154569,154569,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,19
2021-10-19,Individual Income Taxes,null,1923,13746,13746,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,19
2021-10-19,Railroad Retirement Taxes,null,2,270,270,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,19
2021-10-19,Excise Taxes,null,38,1428,1428,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,19
2021-10-19,Corporation Income Taxes,null,147,14821,14821,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,19
2021-10-19,Federal Unemployment Taxes,null,3,52,52,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,19
2021-10-19,Estate and Gift Taxes & Misc IRS Rcpts.,null,0,107,107,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,19
2021-10-19,Cash Federal Tax Deposits,Direct,63,790,790,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,19
2021-10-19,Cash Federal Tax Deposits,Through Depositaries,4487,175434,175434,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,19
2021-10-19,Inter-agency Transfers,null,281,8768,8768,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,19
2021-10-18,Withheld Income and Employment Taxes,null,33355,151852,151852,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,18
2021-10-18,Individual Income Taxes,null,3723,11823,11823,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,18
2021-10-18,Railroad Retirement Taxes,null,47,268,268,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,18
2021-10-18,Excise Taxes,null,11,1390,1390,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,18
2021-10-18,Corporation Income Taxes,null,276,14674,14674,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,18
2021-10-18,Federal Unemployment Taxes,null,4,49,49,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,18
2021-10-18,Estate and Gift Taxes & Misc IRS Rcpts.,null,15,106,106,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,18
2021-10-18,Cash Federal Tax Deposits,Direct,23,727,727,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,18
2021-10-18,Cash Federal Tax Deposits,Through Depositaries,35987,170947,170947,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,18
2021-10-18,Inter-agency Transfers,null,1422,8488,8488,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,18
2021-10-15,Federal Unemployment Taxes,null,10,45,45,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,15
2021-10-15,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,92,92,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,15
2021-10-15,Cash Federal Tax Deposits,Direct,23,704,704,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,15
2021-10-15,Cash Federal Tax Deposits,Through Depositaries,24366,134960,134960,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,15
2021-10-15,Inter-agency Transfers,null,1056,7066,7066,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,15
2021-10-15,Withheld Income and Employment Taxes,null,12192,118497,118497,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,15
2021-10-15,Individual Income Taxes,null,2951,8099,8099,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,15
2021-10-15,Railroad Retirement Taxes,null,15,220,220,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,15
2021-10-15,Excise Taxes,null,44,1379,1379,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,15
2021-10-15,Corporation Income Taxes,null,10232,14398,14398,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,15
2021-10-14,Withheld Income and Employment Taxes,null,8316,106305,106305,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,14
2021-10-14,Individual Income Taxes,null,975,5149,5149,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,14
2021-10-14,Railroad Retirement Taxes,null,4,205,205,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,14
2021-10-14,Excise Taxes,null,724,1334,1334,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,14
2021-10-14,Corporation Income Taxes,null,1847,4166,4166,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,14
2021-10-14,Federal Unemployment Taxes,null,4,35,35,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,14
2021-10-14,Estate and Gift Taxes & Misc IRS Rcpts.,null,10,90,90,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,14
2021-10-14,Cash Federal Tax Deposits,Direct,288,681,681,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,14
2021-10-14,Cash Federal Tax Deposits,Through Depositaries,11520,110594,110594,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,14
2021-10-14,Inter-agency Transfers,null,72,6010,6010,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,14
2021-10-13,Withheld Income and Employment Taxes,null,3846,97989,97989,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,13
2021-10-13,Individual Income Taxes,null,624,4174,4174,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,13
2021-10-13,Railroad Retirement Taxes,null,5,201,201,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,13
2021-10-13,Excise Taxes,null,293,610,610,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,13
2021-10-13,Corporation Income Taxes,null,447,2320,2320,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,13
2021-10-13,Federal Unemployment Taxes,null,4,31,31,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,13
2021-10-13,Estate and Gift Taxes & Misc IRS Rcpts.,null,45,80,80,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,13
2021-10-13,Cash Federal Tax Deposits,Direct,114,393,393,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,13
2021-10-13,Cash Federal Tax Deposits,Through Depositaries,5113,99074,99074,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,13
2021-10-13,Inter-agency Transfers,null,37,5938,5938,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,13
2021-10-12,Withheld Income and Employment Taxes,null,17355,94144,94144,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,12
2021-10-12,Individual Income Taxes,null,948,3550,3550,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,12
2021-10-12,Railroad Retirement Taxes,null,60,196,196,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,12
2021-10-12,Excise Taxes,null,83,317,317,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,12
2021-10-12,Corporation Income Taxes,null,696,1872,1872,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,12
2021-10-12,Federal Unemployment Taxes,null,5,27,27,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,12
2021-10-12,Estate and Gift Taxes & Misc IRS Rcpts.,null,5,35,35,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,12
2021-10-12,Cash Federal Tax Deposits,Direct,33,279,279,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,12
2021-10-12,Cash Federal Tax Deposits,Through Depositaries,19085,93961,93961,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,12
2021-10-12,Inter-agency Transfers,null,34,5901,5901,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,12
2021-10-08,Withheld Income and Employment Taxes,null,7672,76789,76789,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,08
2021-10-08,Individual Income Taxes,null,406,2602,2602,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,08
2021-10-08,Railroad Retirement Taxes,null,54,136,136,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,08
2021-10-08,Excise Taxes,null,40,234,234,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,08
2021-10-08,Corporation Income Taxes,null,335,1176,1176,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,08
2021-10-08,Federal Unemployment Taxes,null,7,22,22,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,08
2021-10-08,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,30,30,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,08
2021-10-08,Cash Federal Tax Deposits,Direct,21,246,246,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,08
2021-10-08,Cash Federal Tax Deposits,Through Depositaries,8486,74876,74876,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,08
2021-10-08,Inter-agency Transfers,null,10,5867,5867,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,08
2021-10-07,Withheld Income and Employment Taxes,null,3095,69117,69117,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,07
2021-10-07,Individual Income Taxes,null,365,2195,2195,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,07
2021-10-07,Railroad Retirement Taxes,null,2,82,82,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,07
2021-10-07,Excise Taxes,null,14,194,194,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,07
2021-10-07,Corporation Income Taxes,null,218,842,842,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,07
2021-10-07,Federal Unemployment Taxes,null,3,15,15,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,07
2021-10-07,Estate and Gift Taxes & Misc IRS Rcpts.,null,7,27,27,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,07
2021-10-07,Cash Federal Tax Deposits,Direct,65,225,225,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,07
2021-10-07,Cash Federal Tax Deposits,Through Depositaries,3115,66391,66391,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,07
2021-10-07,Inter-agency Transfers,null,523,5857,5857,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,07
2021-10-06,Withheld Income and Employment Taxes,null,12190,66022,66022,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,06
2021-10-06,Individual Income Taxes,null,346,1831,1831,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,06
2021-10-06,Railroad Retirement Taxes,null,8,80,80,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,06
2021-10-06,Excise Taxes,null,33,180,180,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,06
2021-10-06,Corporation Income Taxes,null,50,623,623,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,06
2021-10-06,Federal Unemployment Taxes,null,3,12,12,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,06
2021-10-06,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,20,20,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,06
2021-10-06,Cash Federal Tax Deposits,Direct,51,160,160,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,06
2021-10-06,Cash Federal Tax Deposits,Through Depositaries,12290,63275,63275,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,06
2021-10-06,Inter-agency Transfers,null,293,5334,5334,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,06
2021-10-05,Withheld Income and Employment Taxes,null,3103,53833,53833,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,05
2021-10-05,Individual Income Taxes,null,399,1484,1484,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,05
2021-10-05,Railroad Retirement Taxes,null,2,72,72,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,05
2021-10-05,Excise Taxes,null,113,146,146,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,05
2021-10-05,Corporation Income Taxes,null,119,574,574,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,05
2021-10-05,Federal Unemployment Taxes,null,3,9,9,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,05
2021-10-05,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,17,17,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,05
2021-10-05,Cash Federal Tax Deposits,Direct,54,109,109,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,05
2021-10-05,Cash Federal Tax Deposits,Through Depositaries,3627,50985,50985,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,05
2021-10-05,Inter-agency Transfers,null,61,5041,5041,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,05
2021-10-04,Withheld Income and Employment Taxes,null,25783,50730,50730,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,04
2021-10-04,Individual Income Taxes,null,566,1085,1085,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,04
2021-10-04,Railroad Retirement Taxes,null,45,70,70,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,04
2021-10-04,Excise Taxes,null,12,34,34,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,04
2021-10-04,Corporation Income Taxes,null,89,455,455,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,04
2021-10-04,Federal Unemployment Taxes,null,2,6,6,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,04
2021-10-04,Estate and Gift Taxes & Misc IRS Rcpts.,null,10,14,14,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,04
2021-10-04,Cash Federal Tax Deposits,Direct,33,55,55,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,04
2021-10-04,Cash Federal Tax Deposits,Through Depositaries,23446,47359,47359,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,04
2021-10-04,Inter-agency Transfers,null,3028,4980,4980,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,04
2021-10-01,Federal Unemployment Taxes,null,4,4,4,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,10,01
2021-10-01,Withheld Income and Employment Taxes,null,24947,24947,24947,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,10,01
2021-10-01,Individual Income Taxes,null,519,519,519,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,10,01
2021-10-01,Railroad Retirement Taxes,null,25,25,25,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,10,01
2021-10-01,Excise Taxes,null,22,22,22,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,10,01
2021-10-01,Corporation Income Taxes,null,366,366,366,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,10,01
2021-10-01,Estate and Gift Taxes & Misc IRS Rcpts.,null,5,5,5,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,10,01
2021-10-01,Cash Federal Tax Deposits,Direct,23,23,23,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,10,01
2021-10-01,Cash Federal Tax Deposits,Through Depositaries,23912,23912,23912,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,10,01
2021-10-01,Inter-agency Transfers,null,1952,1952,1952,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,10,01
2021-09-30,Withheld Income and Employment Taxes,null,5533,232962,2730817,IV,Federal Tax Deposits,Classification,1,2021,4,2021,3,09,30
2021-09-30,Individual Income Taxes,null,428,46541,380448,IV,Federal Tax Deposits,Classification,2,2021,4,2021,3,09,30
2021-09-30,Railroad Retirement Taxes,null,15,440,5303,IV,Federal Tax Deposits,Classification,3,2021,4,2021,3,09,30
2021-09-30,Excise Taxes,null,1689,11215,78126,IV,Federal Tax Deposits,Classification,4,2021,4,2021,3,09,30
2021-09-30,Corporation Income Taxes,null,198,86752,396594,IV,Federal Tax Deposits,Classification,5,2021,4,2021,3,09,30
2021-09-30,Federal Unemployment Taxes,null,2,37,6391,IV,Federal Tax Deposits,Classification,6,2021,4,2021,3,09,30
2021-09-30,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,130,4668,IV,Federal Tax Deposits,Classification,7,2021,4,2021,3,09,30
2021-09-30,Cash Federal Tax Deposits,Direct,53,3218,31680,IV,Federal Tax Deposits,Classification,9,2021,4,2021,3,09,30
2021-09-30,Cash Federal Tax Deposits,Through Depositaries,7786,364639,3456372,IV,Federal Tax Deposits,Classification,10,2021,4,2021,3,09,30
2021-09-30,Inter-agency Transfers,null,29,10219,114295,IV,Federal Tax Deposits,Classification,12,2021,4,2021,3,09,30
2021-09-29,Withheld Income and Employment Taxes,null,9997,227429,2725284,IV,Federal Tax Deposits,Classification,1,2021,4,2021,3,09,29
2021-09-29,Individual Income Taxes,null,430,46113,380019,IV,Federal Tax Deposits,Classification,2,2021,4,2021,3,09,29
2021-09-29,Railroad Retirement Taxes,null,5,425,5288,IV,Federal Tax Deposits,Classification,3,2021,4,2021,3,09,29
2021-09-29,Excise Taxes,null,3838,9526,76437,IV,Federal Tax Deposits,Classification,4,2021,4,2021,3,09,29
2021-09-29,Corporation Income Taxes,null,172,86554,396396,IV,Federal Tax Deposits,Classification,5,2021,4,2021,3,09,29
2021-09-29,Federal Unemployment Taxes,null,2,35,6389,IV,Federal Tax Deposits,Classification,6,2021,4,2021,3,09,29
2021-09-29,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,127,4665,IV,Federal Tax Deposits,Classification,7,2021,4,2021,3,09,29
2021-09-29,Cash Federal Tax Deposits,Direct,1120,3165,31626,IV,Federal Tax Deposits,Classification,9,2021,4,2021,3,09,29
2021-09-29,Cash Federal Tax Deposits,Through Depositaries,12901,356853,3448586,IV,Federal Tax Deposits,Classification,10,2021,4,2021,3,09,29
2021-09-29,Inter-agency Transfers,null,425,10190,114267,IV,Federal Tax Deposits,Classification,12,2021,4,2021,3,09,29
2021-09-28,Withheld Income and Employment Taxes,null,1926,217432,2715287,IV,Federal Tax Deposits,Classification,1,2021,4,2021,3,09,28
2021-09-28,Individual Income Taxes,null,525,45683,379590,IV,Federal Tax Deposits,Classification,2,2021,4,2021,3,09,28
2021-09-28,Railroad Retirement Taxes,null,6,420,5283,IV,Federal Tax Deposits,Classification,3,2021,4,2021,3,09,28
2021-09-28,Excise Taxes,null,1012,5689,72600,IV,Federal Tax Deposits,Classification,4,2021,4,2021,3,09,28
2021-09-28,Corporation Income Taxes,null,201,86382,396225,IV,Federal Tax Deposits,Classification,5,2021,4,2021,3,09,28
2021-09-28,Federal Unemployment Taxes,null,2,33,6387,IV,Federal Tax Deposits,Classification,6,2021,4,2021,3,09,28
2021-09-28,Estate and Gift Taxes & Misc IRS Rcpts.,null,29,124,4662,IV,Federal Tax Deposits,Classification,7,2021,4,2021,3,09,28
2021-09-28,Cash Federal Tax Deposits,Direct,223,2045,30506,IV,Federal Tax Deposits,Classification,9,2021,4,2021,3,09,28
2021-09-28,Cash Federal Tax Deposits,Through Depositaries,3393,343952,3435685,IV,Federal Tax Deposits,Classification,10,2021,4,2021,3,09,28
2021-09-28,Inter-agency Transfers,null,85,9766,113842,IV,Federal Tax Deposits,Classification,12,2021,4,2021,3,09,28
2021-09-27,Withheld Income and Employment Taxes,null,18083,215505,2713361,IV,Federal Tax Deposits,Classification,1,2021,4,2021,3,09,27
2021-09-27,Individual Income Taxes,null,534,45158,379065,IV,Federal Tax Deposits,Classification,2,2021,4,2021,3,09,27
2021-09-27,Railroad Retirement Taxes,null,63,414,5277,IV,Federal Tax Deposits,Classification,3,2021,4,2021,3,09,27
2021-09-27,Excise Taxes,null,360,4677,71588,IV,Federal Tax Deposits,Classification,4,2021,4,2021,3,09,27
2021-09-27,Corporation Income Taxes,null,108,86181,396023,IV,Federal Tax Deposits,Classification,5,2021,4,2021,3,09,27
2021-09-27,Federal Unemployment Taxes,null,2,32,6386,IV,Federal Tax Deposits,Classification,6,2021,4,2021,3,09,27
2021-09-27,Estate and Gift Taxes & Misc IRS Rcpts.,null,6,96,4633,IV,Federal Tax Deposits,Classification,7,2021,4,2021,3,09,27
2021-09-27,Cash Federal Tax Deposits,Direct,122,1823,30284,IV,Federal Tax Deposits,Classification,9,2021,4,2021,3,09,27
2021-09-27,Cash Federal Tax Deposits,Through Depositaries,18279,340559,3432292,IV,Federal Tax Deposits,Classification,10,2021,4,2021,3,09,27
2021-09-27,Inter-agency Transfers,null,755,9681,113757,IV,Federal Tax Deposits,Classification,12,2021,4,2021,3,09,27
2021-09-24,Federal Unemployment Taxes,null,2,30,6384,IV,Federal Tax Deposits,Classification,6,2021,4,2021,3,09,24
2021-09-24,Withheld Income and Employment Taxes,null,7371,197423,2695278,IV,Federal Tax Deposits,Classification,1,2021,4,2021,3,09,24
2021-09-24,Individual Income Taxes,null,318,44624,378531,IV,Federal Tax Deposits,Classification,2,2021,4,2021,3,09,24
2021-09-24,Railroad Retirement Taxes,null,47,351,5213,IV,Federal Tax Deposits,Classification,3,2021,4,2021,3,09,24
2021-09-24,Excise Taxes,null,210,4316,71227,IV,Federal Tax Deposits,Classification,4,2021,4,2021,3,09,24
2021-09-24,Corporation Income Taxes,null,2529,86073,395916,IV,Federal Tax Deposits,Classification,5,2021,4,2021,3,09,24
2021-09-24,Estate and Gift Taxes & Misc IRS Rcpts.,null,5,89,4627,IV,Federal Tax Deposits,Classification,7,2021,4,2021,3,09,24
2021-09-24,Cash Federal Tax Deposits,Direct,84,1700,30161,IV,Federal Tax Deposits,Classification,9,2021,4,2021,3,09,24
2021-09-24,Cash Federal Tax Deposits,Through Depositaries,10315,322280,3414013,IV,Federal Tax Deposits,Classification,10,2021,4,2021,3,09,24
2021-09-24,Inter-agency Transfers,null,83,8926,113002,IV,Federal Tax Deposits,Classification,12,2021,4,2021,3,09,24
2021-09-23,Inter-agency Transfers,null,314,8843,112919,IV,Federal Tax Deposits,Classification,12,2021,4,2021,3,09,23
2021-09-23,Withheld Income and Employment Taxes,null,3152,190052,2687907,IV,Federal Tax Deposits,Classification,1,2021,4,2021,3,09,23
2021-09-23,Individual Income Taxes,null,299,44307,378213,IV,Federal Tax Deposits,Classification,2,2021,4,2021,3,09,23
2021-09-23,Railroad Retirement Taxes,null,0,303,5166,IV,Federal Tax Deposits,Classification,3,2021,4,2021,3,09,23
2021-09-23,Excise Taxes,null,243,4106,71017,IV,Federal Tax Deposits,Classification,4,2021,4,2021,3,09,23
2021-09-23,Corporation Income Taxes,null,48,83545,393387,IV,Federal Tax Deposits,Classification,5,2021,4,2021,3,09,23
2021-09-23,Federal Unemployment Taxes,null,1,28,6382,IV,Federal Tax Deposits,Classification,6,2021,4,2021,3,09,23
2021-09-23,Estate and Gift Taxes & Misc IRS Rcpts.,null,4,84,4622,IV,Federal Tax Deposits,Classification,7,2021,4,2021,3,09,23
