Record Date,Federal Tax Refund Type,Federal Tax Refund Type Description,Federal Tax Refunds Today,Federal Tax Refunds Month to Date,Federal Tax Refunds Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2026-03-30,Taxes - Individual Tax Refunds (EFT),null,2370,94560,225028,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,30
2026-03-27,Taxes - Business Tax Refunds (Checks),null,4,7114,44250,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,27
2026-03-27,Taxes - Business Tax Refunds (EFT),null,-1,3664,16164,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,27
2026-03-27,Taxes - Individual Tax Refunds (Checks),null,818,3620,21909,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,27
2026-03-27,Taxes - Individual Tax Refunds (EFT),null,2735,92190,222658,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,27
2026-03-26,Taxes - Business Tax Refunds (Checks),null,4,7110,44246,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,26
2026-03-26,Taxes - Business Tax Refunds (EFT),null,5,3665,16165,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,26
2026-03-26,Taxes - Individual Tax Refunds (Checks),null,45,2802,21091,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,26
2026-03-26,Taxes - Individual Tax Refunds (EFT),null,1462,89455,219923,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,26
2026-03-25,Taxes - Business Tax Refunds (Checks),null,2,7106,44242,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,25
2026-03-25,Taxes - Business Tax Refunds (EFT),null,36,3660,16160,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,25
2026-03-25,Taxes - Individual Tax Refunds (Checks),null,58,2757,21047,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,25
2026-03-25,Taxes - Individual Tax Refunds (EFT),null,11096,87994,218461,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,25
2026-03-24,Taxes - Business Tax Refunds (Checks),null,1334,7104,44240,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,24
