Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-11-03,Statutory Debt Limit,null,28881463,28881463,28881463,28401463,III-C,Debt Subject to Limit,Balance Transactions,10,2022,1,2021,4,11,03
2021-11-02,Debt Held by the Public,null,22659988,22679949,22637090,22282900,III-C,Debt Subject to Limit,Balance Transactions,1,2022,1,2021,4,11,02
2021-11-02,Intragovernmental Holdings,null,6248767,6228804,6271676,6146018,III-C,Debt Subject to Limit,Balance Transactions,2,2022,1,2021,4,11,02
2021-11-02,Less Debt Not Subject to Limit,Other Debt,478,478,478,478,III-C,Debt Subject to Limit,Balance Transactions,4,2022,1,2021,4,11,02
2021-11-02,Less Debt Not Subject to Limit,Unamortized Discount,20786,20784,20797,20950,III-C,Debt Subject to Limit,Balance Transactions,5,2022,1,2021,4,11,02
2021-11-02,Less Debt Not Subject to Limit,Federal Financing Bank,6053,6053,6053,6053,III-C,Debt Subject to Limit,Balance Transactions,6,2022,1,2021,4,11,02
2021-11-02,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,11,02
2021-11-02,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,8,2022,1,2021,4,11,02
2021-11-02,Statutory Debt Limit,null,28881463,28881463,28881463,28401463,III-C,Debt Subject to Limit,Balance Transactions,10,2022,1,2021,4,11,02
2021-11-01,Debt Held by the Public,null,22679949,22637090,22637090,22282900,III-C,Debt Subject to Limit,Balance Transactions,1,2022,1,2021,4,11,01
2021-11-01,Intragovernmental Holdings,null,6228804,6271676,6271676,6146018,III-C,Debt Subject to Limit,Balance Transactions,2,2022,1,2021,4,11,01
2021-11-01,Less Debt Not Subject to Limit,Other Debt,478,478,478,478,III-C,Debt Subject to Limit,Balance Transactions,4,2022,1,2021,4,11,01
2021-11-01,Less Debt Not Subject to Limit,Unamortized Discount,20784,20797,20797,20950,III-C,Debt Subject to Limit,Balance Transactions,5,2022,1,2021,4,11,01
2021-11-01,Less Debt Not Subject to Limit,Federal Financing Bank,6053,6053,6053,6053,III-C,Debt Subject to Limit,Balance Transactions,6,2022,1,2021,4,11,01
2021-11-01,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,11,01
2021-11-01,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,8,2022,1,2021,4,11,01
2021-11-01,Statutory Debt Limit,null,28881463,28881463,28881463,28401463,III-C,Debt Subject to Limit,Balance Transactions,10,2022,1,2021,4,11,01
2021-10-29,Debt Held by the Public,null,22637090,22630942,22282900,22282900,III-C,Debt Subject to Limit,Balance Transactions,1,2022,1,2021,4,10,29
2021-10-29,Intragovernmental Holdings,null,6271676,6277833,6146018,6146018,III-C,Debt Subject to Limit,Balance Transactions,2,2022,1,2021,4,10,29
2021-10-29,Less Debt Not Subject to Limit,Other Debt,478,478,478,478,III-C,Debt Subject to Limit,Balance Transactions,4,2022,1,2021,4,10,29
2021-10-29,Less Debt Not Subject to Limit,Unamortized Discount,20797,20806,20950,20950,III-C,Debt Subject to Limit,Balance Transactions,5,2022,1,2021,4,10,29
2021-10-29,Less Debt Not Subject to Limit,Federal Financing Bank,6053,6053,6053,6053,III-C,Debt Subject to Limit,Balance Transactions,6,2022,1,2021,4,10,29
2021-10-29,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,10,29
2021-10-29,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,8,2022,1,2021,4,10,29
2021-10-29,Statutory Debt Limit,null,28881463,28881463,28401463,28401463,III-C,Debt Subject to Limit,Balance Transactions,10,2022,1,2021,4,10,29
2021-10-28,Debt Held by the Public,null,22630942,22625212,22282900,22282900,III-C,Debt Subject to Limit,Balance Transactions,1,2022,1,2021,4,10,28
2021-10-28,Intragovernmental Holdings,null,6277833,6283545,6146018,6146018,III-C,Debt Subject to Limit,Balance Transactions,2,2022,1,2021,4,10,28
2021-10-28,Less Debt Not Subject to Limit,Other Debt,478,478,478,478,III-C,Debt Subject to Limit,Balance Transactions,4,2022,1,2021,4,10,28
2021-10-28,Less Debt Not Subject to Limit,Unamortized Discount,20806,20788,20950,20950,III-C,Debt Subject to Limit,Balance Transactions,5,2022,1,2021,4,10,28
2021-10-28,Less Debt Not Subject to Limit,Federal Financing Bank,6053,6053,6053,6053,III-C,Debt Subject to Limit,Balance Transactions,6,2022,1,2021,4,10,28
2021-10-28,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,10,28
2021-10-28,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,8,2022,1,2021,4,10,28
2021-10-28,Statutory Debt Limit,null,28881463,28881463,28401463,28401463,III-C,Debt Subject to Limit,Balance Transactions,10,2022,1,2021,4,10,28
2021-10-27,Debt Held by the Public,null,22625212,22610119,22282900,22282900,III-C,Debt Subject to Limit,Balance Transactions,1,2022,1,2021,4,10,27
2021-10-27,Intragovernmental Holdings,null,6283545,6298650,6146018,6146018,III-C,Debt Subject to Limit,Balance Transactions,2,2022,1,2021,4,10,27
2021-10-27,Less Debt Not Subject to Limit,Other Debt,478,478,478,478,III-C,Debt Subject to Limit,Balance Transactions,4,2022,1,2021,4,10,27
2021-10-27,Less Debt Not Subject to Limit,Unamortized Discount,20788,20800,20950,20950,III-C,Debt Subject to Limit,Balance Transactions,5,2022,1,2021,4,10,27
2021-10-27,Less Debt Not Subject to Limit,Federal Financing Bank,6053,6053,6053,6053,III-C,Debt Subject to Limit,Balance Transactions,6,2022,1,2021,4,10,27
2021-10-27,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,10,27
2021-10-27,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,8,2022,1,2021,4,10,27
2021-10-27,Statutory Debt Limit,null,28881463,28881463,28401463,28401463,III-C,Debt Subject to Limit,Balance Transactions,10,2022,1,2021,4,10,27
2021-10-26,Debt Held by the Public,null,22610119,22589730,22282900,22282900,III-C,Debt Subject to Limit,Balance Transactions,1,2022,1,2021,4,10,26
2021-10-26,Intragovernmental Holdings,null,6298650,6319037,6146018,6146018,III-C,Debt Subject to Limit,Balance Transactions,2,2022,1,2021,4,10,26
2021-10-26,Less Debt Not Subject to Limit,Other Debt,478,478,478,478,III-C,Debt Subject to Limit,Balance Transactions,4,2022,1,2021,4,10,26
2021-10-26,Less Debt Not Subject to Limit,Unamortized Discount,20800,20798,20950,20950,III-C,Debt Subject to Limit,Balance Transactions,5,2022,1,2021,4,10,26
2021-10-26,Less Debt Not Subject to Limit,Federal Financing Bank,6053,6053,6053,6053,III-C,Debt Subject to Limit,Balance Transactions,6,2022,1,2021,4,10,26
2021-10-26,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,10,26
