ei,xi,pnl,slv,root
2025-05-26 00:20:00,2025-05-26 00:55:00,-35.75,ZN#4,ZN
2025-05-26 01:20:00,2025-05-26 01:25:00,26.75,ZN#5,ZN
2025-05-26 02:20:00,2025-05-26 02:25:00,11.125,ZN#4,ZN
2025-05-26 03:00:00,2025-05-26 03:15:00,-40.214285714291805,ZB#0,ZB
2025-05-26 03:20:00,2025-05-26 03:25:00,26.75,ZB#1,ZB
2025-05-26 03:55:00,2025-05-26 04:00:00,11.125,ZN#5,ZN
2025-05-26 04:30:00,2025-05-26 05:00:00,-35.75,ZN#4,ZN
2025-05-26 06:05:00,2025-05-26 06:10:00,11.125,ZN#5,ZN
2025-05-26 06:10:00,2025-05-26 06:15:00,-20.125,ZB#1,ZB
2025-05-26 06:10:00,2025-05-26 06:15:00,-64.7678571428612,ZB#0,ZB
2025-05-26 06:35:00,2025-05-26 06:45:00,-35.75,ZN#4,ZN
2025-05-26 07:35:00,2025-05-26 07:40:00,58.0,ZB#2,ZB
2025-05-26 08:30:00,2025-05-26 08:35:00,-96.0178571428612,ZB#0,ZB
2025-05-26 09:55:00,2025-05-26 10:00:00,58.0,ZB#1,ZB
2025-05-26 10:30:00,2025-05-26 10:40:00,-67.0,ZB#2,ZB
2025-05-26 10:35:00,2025-05-26 12:00:00,58.0,ZB#0,ZB
2025-05-26 11:45:00,2025-05-26 12:00:00,58.0,ZB#2,ZB
2025-05-26 12:40:00,2025-05-26 12:45:00,58.0,ZB#0,ZB
2025-05-26 15:05:00,2025-05-26 15:20:00,89.25,ZB#0,ZB
2025-05-26 16:10:00,2025-05-26 16:20:00,58.0,ZB#1,ZB
2025-05-27 03:45:00,2025-05-27 03:50:00,11.125,ZN#5,ZN
2025-05-27 03:45:00,2025-05-27 03:50:00,26.75,ZN#3,ZN
2025-05-27 04:30:00,2025-05-27 04:35:00,58.0,ZB#2,ZB
2025-05-27 04:30:00,2025-05-27 04:45:00,58.0,ZB#0,ZB
2025-05-27 05:55:00,2025-05-27 06:00:00,-35.75,ZN#5,ZN
2025-05-27 06:15:00,2025-05-27 06:30:00,89.25,ZB#2,ZB
2025-05-27 08:55:00,2025-05-27 09:05:00,89.25,ZB#0,ZB
2025-05-27 09:05:00,2025-05-27 09:15:00,89.25,ZB#2,ZB
2025-05-27 09:15:00,2025-05-27 09:20:00,58.0,ZB#1,ZB
