mkt,mech,tr_wk,ho_wk,tr_adj,ho_adj,side,dec
RTY,xmk,-34.09281649989838,-183.7008135203311,-35.450679687907886,-182.3046362699878,0.05652759084791386,4
RTY,imp,-80.7922665878045,-273.32460654874933,-78.27595351300486,-273.680585516552,0.039466370205669815,2
RTY,rev,-38.748088018720075,-84.0000401671173,-38.477002944201836,-84.51320465317065,0.009191176470588236,3
RTY,cal,-5.082902285610253,17.45910038334466,-5.718196983626907,15.665336233896966,1.0,7
RTY,xmk,3.850448066451509,23.36386336222977,3.6929651904274245,24.011097849143884,0.028871391076115485,9
RTY,imp,-94.987670466445,-87.53012627032986,-93.70050392556703,-86.64249040256192,0.045951859956236324,1
RTY,vwr,2.4560723280964205,32.90363297205967,3.6306117966475364,31.710872274746517,0.034352941176470586,9
RTY,cal,-12.750054839831547,7.778913680793006,-9.616974464194545,18.028334091425805,-1.0,6
RTY,rev,3.7518676517053313,-68.57343301675519,4.824993998853962,-66.53002127949776,-0.030303030303030304,9
RTY,xmk,-25.291719957318655,-70.09408209117639,-24.25126033677565,-67.061326209636,-0.004517453798767967,5
RTY,vwr,-29.23348052360414,-42.02125290731785,-28.701061636240986,-41.14286324650584,-0.08498942917547568,4
RTY,xmk,-89.56757863763643,-115.46843014809704,-89.54856367737345,-115.6718467011272,0.054858934169279,2
RTY,rnd,-7.817600444146296,-5.926941483542264,-7.518724273859106,-5.085536650553915,-1.0,7
RTY,xmk,-7.932866652537812,-41.08509637355609,-7.811463444705001,-42.00047086219177,0.016061867935752528,7
RTY,orb,-3.4670457753650132,15.770965255755527,-3.5192150253172634,15.188454217532824,0.08225108225108226,7
RTY,orb,-6.746300804201329,14.671186048183962,-6.889156787715436,14.21812190734408,0.08955223880597014,7
RTY,rev,-193.77665977043637,22.626941633589457,-190.28132002363557,38.73383415079506,0.010062290368950648,0
RTY,xmk,-85.1636513826149,-117.72784959719705,-84.96813858606487,-117.61227201024809,-0.030303030303030304,2
RTY,gap,0.11659970221256806,-6.002325245243687,0.11562457604523649,-6.002325245243688,0.018867924528301886,8
