cond,mech,tpw,tr,ho,trpos,both
lifetime plan + stop-limit,sqz,2.9129793510324484,-1.0746923249994262,-6.909077610561244,False,False
frictionless,sqz,2.9129793510324484,-0.00943205102682413,-5.83962129988163,False,False
full cost today,vwr,31.821533923303836,-4.3106572735425095,-5.816609804613295,False,False
no exit slippage,vwr,31.821533923303836,-3.9401160681304552,-5.437023727473125,False,False
no commission,vwr,31.821533923303836,-2.5106572735425092,-4.016609804613295,False,False
lifetime plan + stop-limit,vwr,31.821533923303836,-3.206332550295276,-4.706858158329192,False,False
frictionless,vwr,31.821533923303836,-2.1401160681304554,-3.6370237274731254,False,False
full cost today,vol,11.578171091445428,-4.756406143703273,-3.0778276192702174,False,False
no exit slippage,vol,11.578171091445428,-4.402685014533042,-2.742416147948522,False,False
no commission,vol,11.578171091445428,-2.956406143703273,-1.2778276192702176,False,False
lifetime plan + stop-limit,vol,11.578171091445428,-3.6621734662011334,-1.9945807364771986,False,False
frictionless,vol,11.578171091445428,-2.602685014533042,-0.9424161479485218,False,False
full cost today,sqz,4.682890855457227,-3.3257259190418673,-9.689298884818337,False,False
no exit slippage,sqz,4.682890855457227,-2.9757259190418672,-9.326441741961194,False,False
no commission,sqz,4.682890855457227,-1.5257259190418677,-7.889298884818337,False,False
lifetime plan + stop-limit,sqz,4.682890855457227,-2.2337259190418672,-8.58958459910405,False,False
frictionless,sqz,4.682890855457227,-1.1757259190418679,-7.526441741961194,False,False
full cost today,imp,73.9896755162242,-6.073213414821838,-6.994911523745048,False,False
no exit slippage,imp,73.9896755162242,-5.688392819917209,-6.608279031631484,False,False
no commission,imp,73.9896755162242,-4.2732134148218375,-5.194911523745049,False,False
lifetime plan + stop-limit,imp,73.9896755162242,-4.96032105787906,-5.88093202847691,False,False
frictionless,imp,73.9896755162242,-3.8883928199172093,-4.808279031631484,False,False
full cost today,sqz,3.7315634218289087,-4.596813393049993,-0.8510291858155837,False,False
no exit slippage,sqz,3.7315634218289087,-4.220550766787366,-0.4692110039974019,False,False
no commission,sqz,3.7315634218289087,-2.7968133930499937,0.9489708141844155,False,False
lifetime plan + stop-limit,sqz,3.7315634218289087,-3.4890558172924173,0.26006172327532506,False,False
frictionless,sqz,3.7315634218289087,-2.4205507667873674,1.3307889960025974,False,False
full cost today,vol,42.064896755162245,-4.127881228145267,-7.1686990939624335,False,False
no exit slippage,vol,42.064896755162245,-3.763762087069303,-6.801983871821137,False,False
no commission,vol,42.064896755162245,-2.3278812281452668,-5.368699093962433,False,False
lifetime plan + stop-limit,vol,42.064896755162245,-3.0274097434996876,-6.066669960677656,False,False
frictionless,vol,42.064896755162245,-1.9637620870693029,-5.001983871821136,False,False
full cost today,vol,54.89675516224189,-4.406934079815638,-4.223193154410298,False,False
no exit slippage,vol,54.89675516224189,-4.051642503141772,-3.871763069664535,False,False
no commission,vol,54.89675516224189,-2.6069340798156384,-2.4231931544102974,False,False
lifetime plan + stop-limit,vol,54.89675516224189,-3.311759133811318,-3.1303351035628397,False,False
frictionless,vol,54.89675516224189,-2.2516425031417726,-2.0717630696645344,False,False
full cost today,imp,74.36578171091446,-3.3769220887131706,-2.9459024162640404,False,False
no exit slippage,imp,74.36578171091446,-3.023521353419053,-2.5986576836870547,False,False
no commission,imp,74.36578171091446,-1.5769220887131705,-1.1459024162640408,False,False
lifetime plan + stop-limit,imp,74.36578171091446,-2.282881647536699,-1.8555555767178484,False,False
frictionless,imp,74.36578171091446,-1.2235213534190528,-0.7986576836870554,False,False
full cost today,sqz,1.887905604719764,-0.12377520353700001,2.6295745769888588,False,False
no exit slippage,sqz,1.887905604719764,0.24545556569376892,2.998427036005252,True,True
no commission,sqz,1.887905604719764,1.6762247964630008,4.429574576988857,True,True
lifetime plan + stop-limit,sqz,1.887905604719764,0.979763258001463,3.7328860523986935,True,True
frictionless,sqz,1.887905604719764,2.04545556569377,4.798427036005251,True,True
