mkt,split,mech,n,tr,ho
NG,0.6,gap,12,0.7865993915957583,-7.7990876133668765
NG,0.6,imp,118,6.1172133509656,4.3830329449713705
NG,0.6,orb,74,23.284060031062356,11.786544347216378
NG,0.6,rev,113,14.081715836262992,-3.087867619553308
NG,0.6,rnd,120,18.7751796317005,-11.871730589893966
NG,0.6,sqz,58,21.928200351079813,58.78641210462822
NG,0.6,vwr,112,5.952556789742292,-0.19639351133709865
NG,0.7,cal,47,4.238967414730687,-2.1328628684193345
NG,0.7,gap,12,13.527155621794146,-14.726680919706752
NG,0.7,imp,118,6.183011961671816,3.734916052661906
NG,0.7,orb,68,23.7803251302557,0.07363926209893516
NG,0.7,rev,111,14.021425748702598,-8.54338613033713
NG,0.7,rnd,120,14.973169817846687,-9.92118184319431
NG,0.7,sqz,54,17.7733051531104,1.9735278933416491
NG,0.7,vwr,112,7.481221019116492,-5.880168592726409
NG,0.8,cal,46,3.6416473947941514,-1.9924540302952165
NG,0.8,gap,8,0.08210622475420593,0.7210300718615295
NG,0.8,imp,116,5.344355674235412,7.557604702088416
NG,0.8,orb,54,19.010019625502682,1.153531053137084
NG,0.8,rev,111,11.689619249843242,-8.202723064658981
NG,0.8,rnd,120,11.682746765919449,-9.50489267161777
NG,0.8,sqz,50,19.591109598773514,30.916363423223686
NG,0.8,vwr,111,6.347690603480567,-12.862567441692637
6E,0.5,cal,47,0.7042576030155406,-1.6120401567368514
6E,0.5,gap,6,1.8590901792572971,-3.2231887993446513
6E,0.5,imp,116,2.2034716194237993,-4.280231235822844
6E,0.5,orb,47,1.661951817988677,1.9956086409547635
6E,0.5,rev,110,1.4224293632625096,-1.9145444799460662
6E,0.5,rnd,120,3.480485785461985,-5.219512226935559
6E,0.5,sqz,47,1.3124362190553658,-0.672110755778451
6E,0.5,vwr,111,1.5687041644894018,-0.7314600753543872
6E,0.6,cal,47,0.8899004077819935,-0.40833165710211367
6E,0.6,gap,9,1.099196639224801,-0.4501864592247788
6E,0.6,imp,116,1.4214406659570167,-1.7632910799999053
6E,0.6,orb,42,1.6440162472097077,2.933998820011057
6E,0.6,rev,110,0.8949837358991927,-0.14736921736717914
6E,0.6,rnd,120,3.489417772811588,-2.4305293177425757
6E,0.6,sqz,47,0.9947195698057171,2.1454637779776644
6E,0.6,vwr,110,2.4667965029209533,-0.1632716317894713
6E,0.7,cal,46,0.9853695414798126,-2.656417686367654
6E,0.7,gap,6,-0.9507770003906356,-2.536621315225274
6E,0.7,imp,116,1.6301298169037213,-1.1637200743957903
6E,0.7,orb,33,1.0253519261406538,-2.756906346631343
6E,0.7,rev,110,1.121299721463087,-0.9267588070710312
6E,0.7,rnd,117,3.539129272509905,0.1599771256911943
6E,0.7,sqz,45,1.0387867853043533,2.452744056783629
6E,0.7,vwr,109,2.1357339857801256,0.6104512899283246
6E,0.8,cal,45,0.7214393470476316,0.5014042642719964
6E,0.8,gap,4,-1.535555192674521,-1.3318890880381054
6E,0.8,imp,114,1.5923954123089037,-2.1550923061296463
6E,0.8,orb,19,-0.9495290381205416,-4.725081556190536
6E,0.8,rev,109,0.9448674359145042,-1.3199571351264727
6E,0.8,rnd,109,2.385636067675968,3.212208775588855
6E,0.8,sqz,39,0.7660644242122406,-0.7405893427553522
6E,0.8,vwr,108,2.4830599266901023,-2.597546811687586
6B,0.5,cal,47,0.807032343357242,0.6209135361408352
6B,0.5,gap,6,1.1601330779533814,-1.1513535946913918
6B,0.5,imp,116,0.6741167340110991,-0.14914911275214254
6B,0.5,orb,49,2.499008649374461,-1.2010618692561985
6B,0.5,rev,110,0.8599199051830114,-1.6286145119636721
6B,0.5,rnd,119,1.9872447037678758,-1.0072967825692192
6B,0.5,sqz,46,0.5099946387788244,-0.5914352835830847
6B,0.5,vwr,111,1.890106834998233,-0.6728473968055382
6B,0.6,cal,47,1.1335691158937198,0.10641049022688971
6B,0.6,gap,7,1.456118883414199,-1.1778553987670672
6B,0.6,imp,116,0.6010336403653962,0.21188459510897983
6B,0.6,orb,50,2.439058804336529,-1.4303007025378411
6B,0.6,rev,110,0.7426721341547956,-1.8726887172356677
6B,0.6,rnd,119,1.8876343226613734,0.42451018931881135
6B,0.6,sqz,47,1.1867181274039833,-0.7680864662023761
6B,0.6,vwr,111,2.161257643480179,-1.341549614069482
