n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam,mode
47282,51.7,39.4,-151.0,-2.92,138472.0,-8.96,-281.9,13,0,FADE8w3_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
57680,63.1,33.9,-224.3,-3.55,205265.0,-14.2,-368.7,13,0,FADE8w3_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
45983,50.3,30.0,-118.0,-2.35,108981.0,-7.42,-219.8,13,0,FADE8w3_w50_beS20.0T40.0B10.0tr0.0,imp,be
39583,43.3,37.1,-83.3,-1.92,76299.0,-4.79,-186.2,13,0,FADE8w3_w50_beS30.0T60.0B15.0tr0.0,imp,be
53426,58.5,35.5,-201.5,-3.45,184543.0,-12.08,-332.3,13,0,FADE8w3_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
47567,52.0,38.3,-153.5,-2.95,140838.0,-9.07,-292.7,13,0,FADE8w3_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
40760,44.6,43.2,-85.3,-1.91,78304.0,-4.94,-181.8,13,0,FADE8w3_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
36366,39.8,46.2,-69.5,-1.75,64076.0,-3.8,-170.5,13,0,FADE8w3_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
98755,105.4,30.3,-388.3,-3.68,363986.0,-18.42,-690.1,13,0,FADE8w3_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
77302,82.5,36.3,-279.1,-3.38,261691.0,-12.24,-554.3,13,0,FADE8w3_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
66812,71.3,39.5,-219.5,-3.08,205858.0,-9.46,-480.0,13,0,FADE8w3_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
85598,91.4,34.1,-323.7,-3.54,303663.0,-14.83,-581.0,13,0,FADE8w3_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
65582,70.0,30.4,-194.7,-2.78,183178.0,-9.12,-425.2,13,0,FADE8w3_a50_beS20.0T40.0B10.0tr0.0,imp,be
54413,58.1,37.7,-138.3,-2.38,131120.0,-6.26,-289.8,13,0,FADE8w3_a50_beS30.0T60.0B15.0tr0.0,imp,be
77567,82.8,35.7,-276.9,-3.34,259595.0,-12.2,-555.5,13,0,FADE8w3_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
67310,71.8,38.6,-220.4,-3.07,206663.0,-9.56,-481.3,13,0,FADE8w3_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
57593,61.5,43.2,-152.2,-2.48,144115.0,-6.95,-352.7,13,0,FADE8w3_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
50027,53.4,46.2,-127.7,-2.39,121468.0,-5.5,-256.5,13,0,FADE8w3_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
65189,83.7,29.3,-329.7,-3.94,256848.0,-24.87,-476.1,13,0,FADE8w3_s14.5-21.0_trailS30.0T0.0B0.0tr8.0,imp,trail
45142,58.2,34.1,-220.3,-3.79,171809.0,-13.4,-393.7,13,0,FADE8w3_s14.5-21.0_trailS30.0T0.0B0.0tr15.0,imp,trail
36568,47.1,37.3,-168.7,-3.58,131382.0,-9.36,-300.4,13,0,FADE8w3_s14.5-21.0_trailS40.0T0.0B0.0tr20.0,imp,trail
52565,67.6,32.3,-259.9,-3.85,202534.0,-16.79,-421.0,13,0,FADE8w3_s14.5-21.0_trailS30.0T60.0B0.0tr12.0,imp,trail
36247,46.8,25.9,-137.8,-2.94,107962.0,-7.93,-268.7,13,0,FADE8w3_s14.5-21.0_beS20.0T40.0B10.0tr0.0,imp,be
27736,35.8,33.9,-94.9,-2.65,74130.0,-5.02,-179.5,13,0,FADE8w3_s14.5-21.0_beS30.0T60.0B15.0tr0.0,imp,be
45393,58.5,33.5,-220.5,-3.77,171780.0,-13.3,-395.9,13,0,FADE8w3_s14.5-21.0_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
37055,47.8,36.1,-170.5,-3.57,132844.0,-9.41,-311.3,13,0,FADE8w3_s14.5-21.0_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
29803,38.5,41.5,-98.0,-2.55,77332.0,-5.18,-165.2,13,0,FADE8w3_s14.5-21.0_fixedS20.0T40.0B0.0tr0.0,imp,fixed
24288,31.3,45.5,-72.4,-2.31,56719.0,-3.81,-142.9,13,0,FADE8w3_s14.5-21.0_fixedS30.0T60.0B0.0tr0.0,imp,fixed
30350,39.4,29.2,-157.3,-4.0,121340.0,-21.32,-213.2,13,0,FADE8w3_s14.5-21.0_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
25344,32.9,34.5,-126.1,-3.83,97521.0,-11.44,-179.2,13,0,FADE8w3_s14.5-21.0_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
22180,28.8,37.9,-93.7,-3.25,72526.0,-7.47,-163.3,13,0,FADE8w3_s14.5-21.0_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
27525,35.7,32.5,-139.4,-3.9,107459.0,-14.53,-190.9,13,0,FADE8w3_s14.5-21.0_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
21459,27.9,26.9,-69.1,-2.48,53693.0,-5.8,-113.0,13,0,FADE8w3_s14.5-21.0_w50_beS20.0T40.0B10.0tr0.0,imp,be
17907,23.3,35.0,-47.4,-2.04,36706.0,-3.47,-99.5,13,1,FADE8w3_s14.5-21.0_w50_beS30.0T60.0B15.0tr0.0,imp,be
25407,33.0,33.8,-127.8,-3.87,98581.0,-11.73,-179.3,13,0,FADE8w3_s14.5-21.0_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
22340,29.0,36.8,-92.4,-3.18,71499.0,-7.51,-168.2,13,0,FADE8w3_s14.5-21.0_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
18557,24.1,42.4,-50.9,-2.11,40484.0,-3.56,-115.7,13,0,FADE8w3_s14.5-21.0_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
