name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
M30F_1min_time15_all,1min,-166.2,424.5,258.3,33818,216.6,-100.1,-235.5,-8008.0,-17931.0,49.1
M30F_1min_time15_rth,1min,-19.8,136.4,116.6,10874,69.6,-10.1,-29.9,-810.0,-2278.0,49.7
M30F_1min_time40_all,1min,-100.3,237.4,137.1,18909,121.1,-6.1,-199.3,-485.0,-15172.0,49.4
M30F_1min_time40_rth,1min,-44.5,79.0,34.5,6290,40.3,2.2,-93.5,176.0,-7116.0,49.9
M30F_1min_trail2.0_all,1min,-781.3,613.9,-167.4,48903,313.2,-633.9,-935.8,-50712.0,-71256.0,35.6
M30F_1min_trail2.0_rth,1min,-374.9,189.3,-185.6,15086,96.6,-317.8,-434.7,-25422.0,-33098.0,35.4
R25F_1min_time5_all,1min,104.4,475.7,580.1,37900,242.7,87.5,122.1,7003.0,9300.0,50.4
R25F_1min_time5_rth,1min,13.2,220.1,233.3,17539,112.3,45.8,-21.1,3666.0,-1609.0,49.8
R25F_1min_time15_all,1min,31.1,332.8,363.9,26508,169.8,8.5,54.8,680.0,4176.0,50.1
R25F_1min_time15_rth,1min,-46.1,144.1,98.0,11483,73.5,-38.8,-53.7,-3102.0,-4088.0,49.6
R25F_1min_time40_all,1min,71.4,193.8,265.2,15435,98.9,-81.2,231.7,-6499.0,17638.0,50.8
R25F_1min_time40_rth,1min,58.3,78.8,137.1,6273,40.2,-71.1,194.3,-5690.0,14792.0,49.5
R25F_1min_trail2.0_all,1min,-700.7,425.5,-275.2,33902,217.1,-456.0,-957.3,-36483.0,-72894.0,35.9
R25F_1min_trail2.0_rth,1min,-440.2,187.6,-252.6,14943,95.7,-288.6,-599.2,-23087.0,-45626.0,35.3
DBLB_1min_time5_all,1min,-35.5,221.7,186.2,17663,113.1,-18.9,-52.8,-1512.0,-4022.0,49.0
DBLB_1min_time5_rth,1min,6.7,48.4,55.1,3856,24.7,-3.7,17.6,-296.0,1338.0,48.4
DBLB_1min_time15_all,1min,4.1,148.0,152.1,11789,75.5,-17.8,27.1,-1422.0,2064.0,49.6
DBLB_1min_time15_rth,1min,23.2,35.5,58.7,2825,18.1,16.6,30.2,1326.0,2298.0,49.5
DBLB_1min_time40_all,1min,1.7,96.0,97.7,7644,49.0,-33.0,38.1,-2639.0,2900.0,49.6
DBLB_1min_time40_rth,1min,22.8,24.9,47.7,1984,12.7,-14.5,62.0,-1158.0,4724.0,48.4
DBLB_1min_trail2.0_all,1min,-231.8,229.5,-2.3,18277,117.1,-230.9,-232.6,-18470.0,-17710.0,35.2
DBLB_1min_trail2.0_rth,1min,-78.6,49.4,-29.2,3938,25.2,-88.0,-68.6,-7039.0,-5224.0,35.1
PSMR_1min_time5_all,1min,-0.9,1753.0,1752.1,139655,894.4,0.6,-2.4,44.0,-181.0,48.8
PSMR_1min_time5_rth,1min,8.9,583.5,592.4,46485,297.7,-43.5,63.9,-3478.0,4868.0,48.9
PSMR_1min_time15_all,1min,-18.9,733.6,714.7,58449,374.3,-11.0,-27.2,-883.0,-2071.0,49.2
PSMR_1min_time15_rth,1min,11.0,248.3,259.3,19777,126.7,14.2,7.7,1137.0,582.0,49.1
PSMR_1min_time40_all,1min,-36.8,302.8,266.0,24125,154.5,-32.7,-41.1,-2620.0,-3130.0,49.2
PSMR_1min_time40_rth,1min,-34.5,103.7,69.2,8256,52.9,-36.2,-32.7,-2900.0,-2492.0,48.6
PSMR_1min_trail2.0_all,1min,-1778.6,1330.4,-448.2,105989,678.8,-1359.7,-2217.8,-108774.0,-168871.0,35.2
PSMR_1min_trail2.0_rth,1min,-956.1,415.7,-540.4,33122,212.1,-816.4,-1102.2,-65316.0,-83925.0,35.0
ONRB_1min_time5_all,1min,34.4,342.0,376.4,27241,174.5,40.9,27.6,3268.0,2104.0,50.4
ONRB_1min_time5_rth,1min,34.4,342.0,376.4,27241,174.5,40.9,27.6,3268.0,2104.0,50.4
ONRB_1min_time15_all,1min,72.1,150.3,222.4,11975,76.7,84.9,58.7,6790.0,4467.0,50.3
ONRB_1min_time15_rth,1min,72.1,150.3,222.4,11975,76.7,84.9,58.7,6790.0,4467.0,50.3
ONRB_1min_time40_all,1min,81.2,67.8,149.0,5397,34.6,93.7,68.1,7495.0,5186.0,51.0
ONRB_1min_time40_rth,1min,81.2,67.8,149.0,5397,34.6,93.7,68.1,7495.0,5186.0,51.0
ONRB_1min_trail2.0_all,1min,-360.8,223.4,-137.4,17804,114.0,-272.5,-453.5,-21798.0,-34530.0,36.2
ONRB_1min_trail2.0_rth,1min,-360.8,223.4,-137.4,17804,114.0,-272.5,-453.5,-21798.0,-34530.0,36.2
ONRF_1min_time5_all,1min,-34.4,342.0,307.6,27241,174.5,-40.9,-27.6,-3268.0,-2104.0,48.9
ONRF_1min_time5_rth,1min,-34.4,342.0,307.6,27241,174.5,-40.9,-27.6,-3268.0,-2104.0,48.9
ONRF_1min_time15_all,1min,-72.1,150.3,78.2,11975,76.7,-84.9,-58.7,-6790.0,-4467.0,49.2
ONRF_1min_time15_rth,1min,-72.1,150.3,78.2,11975,76.7,-84.9,-58.7,-6790.0,-4467.0,49.2
ONRF_1min_time40_all,1min,-81.2,67.8,-13.4,5397,34.6,-93.7,-68.1,-7495.0,-5186.0,48.7
ONRF_1min_time40_rth,1min,-81.2,67.8,-13.4,5397,34.6,-93.7,-68.1,-7495.0,-5186.0,48.7
ONRF_1min_trail2.0_all,1min,-519.5,248.1,-271.4,19767,126.6,-492.9,-547.3,-39430.0,-41669.0,35.1
ONRF_1min_trail2.0_rth,1min,-519.5,248.1,-271.4,19767,126.6,-492.9,-547.3,-39430.0,-41669.0,35.1
F15_1min_time5_all,1min,92.9,469.4,562.3,37394,239.5,107.5,77.5,8602.0,5902.0,50.5
F15_1min_time5_rth,1min,92.9,469.4,562.3,37394,239.5,107.5,77.5,8602.0,5902.0,50.5
F15_1min_time15_all,1min,137.3,204.0,341.3,16261,104.1,102.6,173.6,8210.0,13220.0,50.8
F15_1min_time15_rth,1min,137.3,204.0,341.3,16261,104.1,102.6,173.6,8210.0,13220.0,50.8
F15_1min_time40_all,1min,111.6,89.8,201.4,7159,45.8,124.4,98.1,9950.0,7472.0,51.6
F15_1min_time40_rth,1min,111.6,89.8,201.4,7159,45.8,124.4,98.1,9950.0,7472.0,51.6
F15_1min_trail2.0_all,1min,-487.5,308.5,-179.0,24581,157.4,-354.5,-626.9,-28363.0,-47731.0,36.1
F15_1min_trail2.0_rth,1min,-487.5,308.5,-179.0,24581,157.4,-354.5,-626.9,-28363.0,-47731.0,36.1
MPB2_1min_time5_all,1min,35.9,351.4,387.3,27989,179.3,45.1,26.3,3605.0,2006.0,50.0
