,pnl
2026-05-18 14:12:00.070901819+00:00,-94.0
2026-05-18 14:33:00.069135525+00:00,-264.5
2026-05-18 14:52:00.076875063+00:00,-144.0
2026-05-18 15:10:00.078738283+00:00,70.5
2026-05-18 15:27:00.065881619+00:00,40.0
2026-05-18 15:43:00.109038939+00:00,-47.0
2026-05-18 17:37:00.508566477+00:00,-20.0
2026-05-18 17:55:00.072983935+00:00,60.5
2026-05-18 18:18:00.066878161+00:00,-158.0
2026-05-18 18:34:00.076891695+00:00,37.0
2026-05-18 18:53:00.076490075+00:00,-77.5
2026-05-18 19:09:00.092071345+00:00,185.0
2026-05-18 19:27:00.122880021+00:00,-169.0
2026-05-18 20:10:00.172033581+00:00,43.5
2026-05-18 20:37:02.635068077+00:00,-1.0
2026-05-19 13:58:00.136310859+00:00,-52.0
2026-05-19 14:19:00.071768831+00:00,-315.0
2026-05-19 14:35:00.252677899+00:00,-25.0
2026-05-19 14:51:00.357781627+00:00,-9.0
2026-05-19 15:08:00.137546333+00:00,-43.0
2026-05-19 19:26:00.066404443+00:00,181.0
2026-05-19 20:26:00.100027997+00:00,2.5
2026-05-20 14:03:00.115759121+00:00,180.0
2026-05-20 15:31:00.124044907+00:00,42.0
2026-05-20 20:37:00.296954471+00:00,55.5
2026-05-21 13:54:00.069369299+00:00,78.0
2026-05-21 14:31:00.179929973+00:00,18.5
2026-05-21 15:49:00.254188887+00:00,156.0
2026-05-21 16:38:00.534873389+00:00,73.0
2026-05-21 19:10:00.095614691+00:00,174.5
2026-05-22 13:52:00.079658657+00:00,-78.5
2026-05-22 14:08:00.111275441+00:00,-129.5
2026-05-22 14:24:00.072675083+00:00,-146.5
2026-05-22 17:51:00.077705855+00:00,-50.5
2026-05-22 20:15:00.687867653+00:00,-15.0
2026-05-25 15:43:00.697598625+00:00,-16.0
2026-05-25 16:26:00.290415455+00:00,-5.5
2026-05-25 22:00:00+00:00,26.0
2026-05-26 13:52:00.101997903+00:00,187.5
2026-05-26 16:05:00.095148351+00:00,-32.0
2026-05-26 17:05:00.162420513+00:00,86.5
2026-05-26 17:21:00.096187417+00:00,-37.5
2026-05-26 18:59:00.123120623+00:00,25.0
2026-05-27 13:52:00.141789811+00:00,-113.5
2026-05-27 14:09:00.136854685+00:00,100.0
2026-05-27 14:26:00.078162707+00:00,-128.0
2026-05-27 14:42:00.168903475+00:00,220.5
2026-05-27 15:12:00.560320193+00:00,94.0
2026-05-27 15:30:00.070558565+00:00,-10.0
2026-05-27 15:51:00.126120495+00:00,29.0
2026-05-27 17:02:00.074746329+00:00,-144.5
2026-05-27 17:18:00.080887163+00:00,-87.0
2026-05-27 17:43:00.137105547+00:00,-12.5
2026-05-27 18:03:00.733329129+00:00,43.5
2026-05-27 19:09:00.098545783+00:00,4.5
2026-05-27 20:02:00.069987683+00:00,8.5
2026-05-28 13:56:00.071069949+00:00,-3.0
2026-05-28 14:17:00.079986799+00:00,345.0
2026-05-29 14:11:00.074447805+00:00,-74.5
2026-05-29 14:39:00.074747951+00:00,-65.5
2026-05-29 14:55:00.096585143+00:00,-24.0
2026-05-29 15:21:00.077511659+00:00,-52.5
2026-05-29 15:41:00.069017139+00:00,68.5
2026-05-29 18:31:00.278118557+00:00,-110.5
2026-06-01 13:53:00.067916007+00:00,96.5
2026-06-01 14:11:00.070138467+00:00,5.5
2026-06-01 14:32:00.222103099+00:00,-29.5
2026-06-01 18:06:00.229807415+00:00,26.5
2026-06-01 19:55:00.066216865+00:00,63.5
2026-06-01 20:49:00.211097437+00:00,22.5
2026-06-02 14:01:00.070531073+00:00,-182.5
2026-06-02 14:25:00.085648789+00:00,68.5
2026-06-02 15:05:00.090452117+00:00,16.0
2026-06-02 15:21:00.351271209+00:00,102.5
2026-06-02 17:27:00.069218167+00:00,-110.5
2026-06-02 20:09:00.219821199+00:00,-88.0
2026-06-03 13:53:00.071971199+00:00,-106.5
2026-06-03 14:09:00.129995821+00:00,-44.0
2026-06-03 14:31:00.096396343+00:00,-48.0
2026-06-03 15:38:00.075385619+00:00,-15.5
2026-06-03 16:53:00.404573221+00:00,91.0
2026-06-03 17:29:00.319302723+00:00,38.0
2026-06-03 20:47:00.106282621+00:00,47.5
2026-06-04 13:52:00.110664701+00:00,43.0
2026-06-04 14:08:00.105367771+00:00,195.0
2026-06-04 14:24:00.153619197+00:00,220.0
2026-06-04 16:08:00.090136389+00:00,87.0
2026-06-04 18:27:00.203043935+00:00,-1.5
2026-06-05 13:57:00.167397103+00:00,-220.0
2026-06-05 14:13:00.122269371+00:00,-21.0
2026-06-05 14:42:00.122666795+00:00,103.0
2026-06-05 14:59:00.124248725+00:00,36.5
2026-06-05 15:16:00.068921005+00:00,-217.5
2026-06-05 15:32:00.069426975+00:00,-55.5
2026-06-05 15:48:00.123956773+00:00,-99.0
2026-06-05 16:04:00.113195941+00:00,-50.0
2026-06-05 16:20:00.117711613+00:00,-146.0
2026-06-05 16:36:00.185905627+00:00,-52.5
