pattern,hold_min,side,sel_per_trade,sel_n,blind_per_trade,blind_n,sel_usd_wk,blind_usd_wk,sel_tr_wk,blind_tr_wk
F15I3_44707_h5,5,1,-1.2,1695,-1.7,2568,-25.0,-56.0,20.7,32.9
F05V3_339119_h15,15,1,-0.97,2114,-0.48,2911,-25.0,-18.0,25.8,37.3
F05I3_104735_h15,15,-1,-0.75,2718,-6.21,3860,-25.0,-307.0,33.1,49.5
F05V4_11010773_h2,2,-1,-1.82,1109,-3.48,1655,-25.0,-74.0,13.5,21.2
F05V4_13436879_h15,15,1,-1.23,1695,-2.3,1206,-25.0,-36.0,20.7,15.5
F05V4_11194811_h2,2,1,-1.77,1165,-1.86,1864,-25.0,-44.0,14.2,23.9
F15I3_49437_h5,5,-1,-1.47,1442,-1.58,2405,-26.0,-49.0,17.6,30.8
F05V3_92861_h15,15,1,-1.37,1558,-2.39,639,-26.0,-20.0,19.0,8.2
F05V4_13433903_h2,2,-1,-2.02,1063,-3.67,1563,-26.0,-74.0,13.0,20.0
F15V3_62208_h5,5,1,-2.01,1051,-2.96,2141,-26.0,-81.0,12.8,27.4
F05I3_109437_h5,5,-1,-1.05,2016,-3.19,3365,-26.0,-138.0,24.6,43.1
F05V4_12_h15,15,1,-1.03,2148,-2.41,3227,-27.0,-100.0,26.2,41.4
M1B3_12333_h15,15,-1,-1.41,1577,-5.16,2220,-27.0,-147.0,19.2,28.5
F05I4_2428413_h2,2,-1,-1.92,1137,-2.84,2014,-27.0,-73.0,13.9,25.8
F05I3_40017_h2,2,1,-1.97,1130,-2.07,967,-27.0,-26.0,13.8,12.4
F15V4_26687195_h15,15,-1,-1.21,1833,-7.11,2742,-27.0,-250.0,22.4,35.2
F15I3_110369_h5,5,1,-1.73,1312,-4.97,1584,-28.0,-101.0,16.0,20.3
F15V3_183155_h5,5,1,-1.85,1239,-3.74,597,-28.0,-29.0,15.1,7.7
F05I3_104805_h2,2,-1,-1.9,1215,-5.23,2181,-28.0,-146.0,14.8,28.0
F05I3_105885_h5,5,-1,-1.11,2087,-2.96,3777,-28.0,-143.0,25.5,48.4
F05I4_2373093_h2,2,1,-1.87,1263,-3.53,2139,-29.0,-97.0,15.4,27.4
F05V4_10975817_h5,5,1,-1.62,1489,-3.78,987,-29.0,-48.0,18.2,12.7
F15V3_339083_h5,5,-1,-1.74,1384,-3.7,1938,-29.0,-92.0,16.9,24.8
F15I3_105887_h5,5,-1,-1.13,2102,-4.44,3187,-29.0,-181.0,25.6,40.9
F05V4_24414011_h2,2,1,-2.22,1107,-4.44,1703,-30.0,-97.0,13.5,21.8
F05I3_105953_h5,5,-1,-1.37,1796,-2.85,2936,-30.0,-107.0,21.9,37.6
F05V4_8895731_h5,5,1,-1.89,1308,-1.98,537,-30.0,-14.0,16.0,6.9
F05I3_40031_h15,15,-1,-1.01,2423,-3.57,3271,-30.0,-150.0,29.5,41.9
F05I3_41443_h2,2,1,-2.06,1246,-2.2,1827,-31.0,-52.0,15.2,23.4
M1B3_12609_h15,15,-1,-1.24,2081,-3.69,2826,-31.0,-134.0,25.4,36.2
F05V3_124401_h5,5,1,-2.08,1266,-4.28,1094,-32.0,-60.0,15.4,14.0
F05V4_11194415_h2,2,1,-2.12,1290,-2.92,1754,-33.0,-66.0,15.7,22.5
F05V4_24412745_h2,2,1,-2.18,1249,-4.29,813,-33.0,-45.0,15.2,10.4
F15V3_152447_h5,5,-1,-2.19,1231,-4.42,698,-33.0,-40.0,15.0,8.9
F05V4_24353957_h5,5,-1,-1.73,1581,-4.01,994,-33.0,-51.0,19.3,12.7
F05I3_96571_h2,2,-1,-1.81,1477,-5.04,2264,-33.0,-146.0,18.0,29.0
F15I3_110493_h5,5,-1,-1.81,1484,-4.97,2392,-33.0,-152.0,18.1,30.7
F05V4_26656121_h2,2,-1,-2.33,1165,-4.73,1611,-33.0,-98.0,14.2,20.7
F15V3_372809_h15,15,-1,-1.43,1964,-6.3,2684,-34.0,-217.0,24.0,34.4
F15I3_55199_h5,5,-1,-1.84,1503,-3.09,2234,-34.0,-89.0,18.3,28.6
F05V3_340841_h5,5,1,-1.94,1454,-4.37,876,-34.0,-49.0,17.7,11.2
F05V4_4478976_h5,5,1,-1.6,1762,-3.0,3183,-34.0,-122.0,21.5,40.8
F05I3_105959_h5,5,-1,-1.61,1743,-2.17,3050,-34.0,-85.0,21.3,39.1
F05I4_2142497_h5,5,1,-1.66,1743,-2.1,2714,-35.0,-73.0,21.3,34.8
F15V3_89369_h15,15,1,-1.66,1712,-4.19,728,-35.0,-39.0,20.9,9.3
F05V3_154217_h15,15,-1,-1.3,2183,-5.43,1361,-35.0,-95.0,26.6,17.4
F05V3_184019_h15,15,1,-1.38,2107,-3.23,1457,-35.0,-60.0,25.7,18.7
F05V3_64800_h2,2,1,-2.42,1214,-2.85,2565,-36.0,-94.0,14.8,32.9
F05I3_109125_h5,5,-1,-1.62,1832,-4.52,2691,-36.0,-156.0,22.3,34.5
F05I4_2373119_h5,5,-1,-1.48,2012,-4.62,3035,-36.0,-180.0,24.5,38.9
F05V3_370211_h5,5,1,-2.19,1397,-4.01,740,-37.0,-38.0,17.0,9.5
F05V4_13247675_h5,5,1,-1.84,1656,-0.05,2755,-37.0,-2.0,20.2,35.3
F05I3_95323_h5,5,-1,-1.19,2565,-2.98,3808,-37.0,-145.0,31.3,48.8
F05V4_8771291_h2,2,1,-2.39,1300,-2.26,881,-38.0,-26.0,15.9,11.3
F05V4_13436879_h5,5,1,-1.56,1981,-2.39,1406,-38.0,-43.0,24.2,18.0
F05V4_26870825_h5,5,-1,-2.13,1485,-2.78,2384,-39.0,-85.0,18.1,30.6
F15V3_123551_h15,15,1,-1.48,2141,-2.6,1050,-39.0,-35.0,26.1,13.5
F05V4_62208_h5,5,1,-1.86,1773,-2.72,3126,-40.0,-109.0,21.6,40.1
F05V4_26624987_h2,2,1,-2.27,1489,-5.43,1056,-41.0,-74.0,18.2,13.5
F15V3_90281_h5,5,1,-2.16,1538,-4.74,943,-41.0,-57.0,18.8,12.1
F05V3_92873_h15,15,1,-1.52,2191,-1.97,1402,-41.0,-35.0,26.7,18.0
F15I3_45857_h5,5,1,-1.76,1915,-2.07,2630,-41.0,-70.0,23.4,33.7
F15I3_110565_h5,5,1,-1.88,1821,-2.48,2729,-42.0,-87.0,22.2,35.0
F05V4_26870825_h2,2,-1,-2.11,1617,-4.27,2590,-42.0,-142.0,19.7,33.2
F05V4_26653499_h2,2,-1,-2.09,1657,-4.51,2522,-42.0,-146.0,20.2,32.3
F05V3_147196_h2,2,1,-2.3,1500,-0.59,3270,-42.0,-25.0,18.3,41.9
F05V4_26870795_h5,5,-1,-2.05,1699,-4.13,2607,-42.0,-138.0,20.7,33.4
F15I3_55295_h5,5,1,-1.9,1876,-5.03,2436,-43.0,-157.0,22.9,31.2
F15V4_10976687_h5,5,-1,-1.99,1778,-6.01,2556,-43.0,-197.0,21.7,32.8
F05V4_11194847_h2,2,-1,-2.08,1701,-5.98,2839,-43.0,-218.0,20.7,36.4
F05V4_26686367_h5,5,-1,-2.13,1670,-5.52,1039,-43.0,-74.0,20.4,13.3
F05V4_8957915_h2,2,-1,-2.31,1559,-4.49,1064,-44.0,-61.0,19.0,13.6
F05I3_105953_h2,2,-1,-1.89,1917,-3.44,3157,-44.0,-139.0,23.4,40.5
F05V4_26687189_h2,2,-1,-2.23,1602,-4.25,2526,-44.0,-138.0,19.5,32.4
F05V4_10976687_h15,15,-1,-1.58,2296,-10.29,3231,-44.0,-426.0,28.0,41.4
F15V4_13434299_h5,5,-1,-2.04,1760,-6.61,3104,-44.0,-263.0,21.5,39.8
F05I3_50589_h15,15,-1,-1.33,2724,-3.74,3940,-44.0,-189.0,33.2,50.5
F15V3_310175_h15,15,1,-1.75,2097,-4.17,967,-45.0,-52.0,25.6,12.4
F05I3_105885_h2,2,-1,-1.63,2286,-2.41,4304,-45.0,-133.0,27.9,55.2
F05I3_49533_h2,2,-1,-2.17,1749,-4.21,2954,-46.0,-159.0,21.3,37.9
F15V4_26873813_h5,5,1,-2.15,1761,-2.31,2543,-46.0,-75.0,21.5,32.6
F05V4_10979705_h5,5,1,-2.16,1800,-2.04,2671,-47.0,-70.0,22.0,34.2
F05V4_26655653_h5,5,-1,-2.06,1884,-3.26,2871,-47.0,-120.0,23.0,36.8
F05I4_1924673_h2,2,1,-1.91,2021,-3.92,2956,-47.0,-149.0,24.6,37.9
F05V4_24415301_h5,5,-1,-2.02,1934,-2.43,1151,-48.0,-36.0,23.6,14.8
F05I4_4855361_h5,5,-1,-1.83,2149,-4.25,2872,-48.0,-156.0,26.2,36.8
F15V3_370181_h5,5,1,-1.98,2049,-3.26,2854,-49.0,-119.0,25.0,36.6
F05V4_48_h2,2,1,-2.49,1609,-3.34,2859,-49.0,-122.0,19.6,36.7
F05V4_6434585_h5,5,1,-2.27,1755,-3.68,566,-49.0,-27.0,21.4,7.3
F05I3_110469_h5,5,-1,-1.71,2402,-2.55,3985,-50.0,-130.0,29.3,51.1
F15V4_26687195_h5,5,-1,-1.71,2395,-5.21,3773,-50.0,-252.0,29.2,48.4
F05V4_62208_h2,2,1,-2.2,1855,-3.34,3322,-50.0,-142.0,22.6,42.6
F05V4_26871227_h15,15,-1,-1.51,2705,-5.06,3816,-50.0,-248.0,33.0,48.9
F05V4_6500261_h5,5,1,-1.99,2075,-3.11,1304,-50.0,-52.0,25.3,16.7
F15V3_89405_h5,5,1,-2.38,1723,-3.06,663,-50.0,-26.0,21.0,8.5
F05V3_370175_h2,2,-1,-2.36,1730,-3.6,864,-50.0,-40.0,21.1,11.1
F05I3_109437_h2,2,-1,-1.91,2209,-4.22,3777,-51.0,-204.0,26.9,48.4
F05V4_26870831_h5,5,-1,-2.12,1966,-4.54,2837,-51.0,-165.0,24.0,36.4
F05V4_26687219_h5,5,1,-2.31,1828,-2.91,1159,-51.0,-43.0,22.3,14.9
F05I3_109151_h5,5,1,-1.85,2309,-3.7,3111,-52.0,-148.0,28.2,39.9
F15V4_13250267_h5,5,-1,-2.26,1919,-3.03,3265,-53.0,-127.0,23.4,41.9
F05V4_13247675_h2,2,1,-2.4,1802,-0.8,3078,-53.0,-32.0,22.0,39.5
F05V3_369755_h15,15,1,-1.67,2637,-3.63,1817,-54.0,-85.0,32.2,23.3
F05V3_89405_h15,15,1,-1.6,2785,-2.5,1033,-54.0,-33.0,34.0,13.2
F05I4_5248415_h2,2,-1,-2.35,1965,-2.39,3160,-56.0,-97.0,24.0,40.5
F05V4_22208255_h5,5,1,-1.93,2377,-3.37,1664,-56.0,-72.0,29.0,21.3
F05V3_864_h15,15,1,-1.49,3068,-2.45,5238,-56.0,-165.0,37.4,67.2
F05V4_10978373_h5,5,1,-2.13,2204,-4.52,1340,-57.0,-78.0,26.9,17.2
F05V3_339119_h5,5,1,-1.65,2810,-2.17,4141,-57.0,-115.0,34.3,53.1
F05V4_4478976_h2,2,1,-2.52,1860,-3.35,3415,-57.0,-147.0,22.7,43.8
F05I3_109413_h2,2,-1,-1.84,2564,-3.54,4359,-58.0,-198.0,31.3,55.9
F05I3_55269_h5,5,1,-2.02,2354,-1.0,3624,-58.0,-46.0,28.7,46.5
F05I3_109319_h2,2,-1,-2.2,2171,-4.05,3512,-58.0,-182.0,26.5,45.0
F05V3_89381_h15,15,1,-1.24,3887,-3.57,1830,-59.0,-84.0,47.4,23.5
