pattern,hold_min,side,sel_per_trade,sel_n,blind_per_trade,blind_n,sel_usd_wk,blind_usd_wk,sel_tr_wk,blind_tr_wk
F15I3_44613_h15,15,-1,1.8,606,-2.6,916,13.0,-31.0,7.4,11.7
F15I4_2427167_h30,30,-1,3.01,349,1.59,634,13.0,13.0,4.3,8.1
M1B4_136739_h15,15,-1,6.03,178,-7.14,281,13.0,-26.0,2.2,3.6
F15I4_2141371_h30,30,-1,4.02,267,-18.26,453,13.0,-106.0,3.3,5.8
F05I4_5087009_h5,5,1,1.91,569,-3.44,889,13.0,-39.0,6.9,11.4
M1B4_115396_h30,30,1,8.29,131,-15.16,344,13.0,-67.0,1.6,4.4
M1B4_317350_h30,30,1,8.55,121,1.9,591,13.0,14.0,1.5,7.6
M1B4_144550_h30,30,1,8.26,132,2.61,718,13.0,24.0,1.6,9.2
M1B4_74817_h30,30,1,4.62,224,-11.73,167,13.0,-25.0,2.7,2.1
F15V3_338249_h30,30,-1,1.3,845,-3.81,573,13.0,-28.0,10.3,7.3
F15V3_371945_h30,30,1,2.0,551,-8.1,312,13.0,-32.0,6.7,4.0
F05V4_24221692_h15,15,1,2.65,390,0.33,843,13.0,4.0,4.8,10.8
F15V4_8957951_h15,15,1,1.04,986,-5.04,715,13.0,-46.0,12.0,9.2
F15I4_1924769_h15,15,-1,1.81,570,-9.31,808,13.0,-96.0,7.0,10.4
M1B3_13773_h30,30,-1,1.61,646,-4.4,1035,13.0,-58.0,7.9,13.3
F05V4_26870831_h15,15,-1,0.68,1555,-5.64,2151,13.0,-156.0,19.0,27.6
M1B4_131039_h30,30,1,3.16,340,-4.02,598,13.0,-31.0,4.1,7.7
F15I4_4574273_h30,30,-1,2.34,470,-5.81,629,13.0,-47.0,5.7,8.1
F15I4_4574299_h30,30,1,3.47,318,0.91,458,13.0,5.0,3.9,5.9
F15I4_5308415_h30,30,-1,2.23,480,-4.66,646,13.0,-39.0,5.9,8.3
F15I3_55197_h5,5,-1,0.97,1132,-3.51,1849,13.0,-83.0,13.8,23.7
F15I3_104829_h30,30,-1,1.9,558,-9.45,978,13.0,-118.0,6.8,12.5
F15V4_4478976_h30,30,1,2.92,366,-2.14,710,13.0,-19.0,4.5,9.1
F05I4_5307143_h15,15,-1,1.96,547,-0.63,928,13.0,-7.0,6.7,11.9
F15V4_24221692_h15,15,1,4.05,257,6.34,615,13.0,50.0,3.1,7.9
F15V4_24221692_h30,30,1,4.66,225,4.82,534,13.0,33.0,2.7,6.8
M1B4_324767_h30,30,1,4.79,213,4.26,193,12.0,11.0,2.6,2.5
M1B4_295715_h15,15,1,3.51,280,-2.03,485,12.0,-13.0,3.4,6.2
M1B4_151462_h30,30,1,6.35,160,0.47,848,12.0,5.0,2.0,10.9
F15V3_147232_h15,15,1,3.14,326,7.22,656,12.0,61.0,4.0,8.4
F15V3_333856_h30,30,1,4.46,215,3.63,514,12.0,24.0,2.6,6.6
M1B3_6899_h30,30,1,0.95,1071,-6.03,1660,12.0,-128.0,13.1,21.3
F15V4_24414047_h15,15,-1,1.51,634,-4.09,954,12.0,-50.0,7.7,12.2
M1B4_323697_h30,30,1,5.85,175,-1.46,277,12.0,-5.0,2.1,3.6
M1B4_112996_h30,30,1,5.7,176,-14.26,295,12.0,-54.0,2.1,3.8
F15I4_5082623_h30,30,-1,2.16,467,-2.8,729,12.0,-26.0,5.7,9.3
F15I4_5087133_h15,15,-1,3.04,333,-0.91,594,12.0,-7.0,4.1,7.6
M1B4_138177_h30,30,-1,2.86,349,-0.39,477,12.0,-2.0,4.3,6.1
F15V4_26653061_h30,30,-1,2.27,428,-2.35,637,12.0,-19.0,5.2,8.2
F05I3_109149_h15,15,-1,0.99,1010,-8.94,1474,12.0,-169.0,12.3,18.9
F15I3_104807_h15,15,1,2.91,344,-0.42,595,12.0,-3.0,4.2,7.6
F15V4_2271042_h30,30,1,3.88,257,-2.53,460,12.0,-15.0,3.1,5.9
F15V4_24416597_h15,15,1,2.27,439,-4.4,612,12.0,-35.0,5.4,7.8
M1B3_13427_h30,30,1,2.81,353,-7.66,260,12.0,-26.0,4.3,3.3
M1B3_11620_h30,30,1,3.55,281,-5.64,606,12.0,-44.0,3.4,7.8
F15I3_106990_h15,15,1,2.99,330,-0.98,1456,12.0,-18.0,4.0,18.7
F15I3_48308_h15,15,1,4.17,239,-3.25,1079,12.0,-45.0,2.9,13.8
F15I3_44613_h30,30,-1,1.77,565,-4.79,836,12.0,-51.0,6.9,10.7
F15I3_27425_h30,30,-1,2.1,485,-1.03,381,12.0,-5.0,5.9,4.9
F15I3_105953_h30,30,-1,1.38,688,-11.35,979,12.0,-142.0,8.4,12.6
M1B3_11728_h30,30,1,6.33,154,-6.96,482,12.0,-43.0,1.9,6.2
M1B3_613_h30,30,1,4.56,224,-16.25,77,12.0,-16.0,2.7,1.0
M1B3_4315_h30,30,1,2.92,348,-8.64,259,12.0,-29.0,4.2,3.3
M1B3_3297_h30,30,-1,1.59,592,-6.17,347,11.0,-27.0,7.2,4.4
M1B3_4806_h30,30,1,7.62,116,-6.37,383,11.0,-31.0,1.4,4.9
M1B3_13475_h30,30,-1,1.61,548,0.49,748,11.0,5.0,6.7,9.6
M1B3_5423_h30,30,-1,0.99,898,0.94,1323,11.0,16.0,11.0,17.0
F15V4_24353957_h30,30,-1,1.56,552,-0.71,391,11.0,-4.0,6.7,5.0
F05I3_96475_h15,15,-1,1.06,859,-7.47,1347,11.0,-129.0,10.5,17.3
F15I3_44735_h15,15,1,2.51,348,1.85,562,11.0,13.0,4.2,7.2
F15I3_22809_h15,15,-1,1.93,460,-8.21,337,11.0,-35.0,5.6,4.3
F15I3_109055_h15,15,1,1.58,545,-5.02,426,11.0,-27.0,6.6,5.5
F15I3_90615_h30,30,-1,1.34,677,2.64,388,11.0,13.0,8.3,5.0
F05V4_11197439_h15,15,-1,1.28,697,-2.2,1159,11.0,-33.0,8.5,14.9
F05I4_113041_h15,15,1,1.58,564,4.41,309,11.0,17.0,6.9,4.0
F15I3_101179_h15,15,-1,1.47,623,-6.05,884,11.0,-69.0,7.6,11.3
M1B3_11501_h30,30,1,3.32,263,1.41,172,11.0,3.0,3.2,2.2
M1B3_12772_h30,30,1,6.41,143,-3.05,309,11.0,-12.0,1.7,4.0
F05I4_2427263_h15,15,1,1.96,477,-9.04,845,11.0,-98.0,5.8,10.8
F05I4_2428319_h15,15,-1,0.75,1228,-4.45,1993,11.0,-114.0,15.0,25.6
F15V3_310997_h30,30,1,1.07,864,-8.84,470,11.0,-53.0,10.5,6.0
M1B4_115412_h30,30,1,7.55,124,4.93,667,11.0,42.0,1.5,8.6
M1B4_165885_h15,15,-1,3.04,300,-4.43,490,11.0,-28.0,3.7,6.3
F15I4_4634179_h15,15,-1,2.49,362,-14.09,512,11.0,-92.0,4.4,6.6
F15I4_2433023_h30,30,1,1.37,664,-5.38,932,11.0,-64.0,8.1,11.9
M1B4_165873_h15,15,-1,2.8,325,0.4,565,11.0,3.0,4.0,7.2
F15I4_4795579_h15,15,1,2.68,351,1.05,502,11.0,7.0,4.3,6.4
F15V3_76204_h30,30,1,1.68,547,-4.57,577,11.0,-34.0,6.7,7.4
M1B3_4315_h15,15,1,2.36,371,-4.52,267,11.0,-15.0,4.5,3.4
F15V3_147194_h30,30,1,3.7,242,-3.55,1005,11.0,-46.0,3.0,12.9
F15V3_3626_h30,30,1,3.65,251,-3.77,532,11.0,-26.0,3.1,6.8
F15V4_26653097_h15,15,1,2.37,376,-8.73,601,11.0,-67.0,4.6,7.7
M1B4_274075_h30,30,-1,2.15,402,-1.3,207,11.0,-3.0,4.9,2.7
M1B4_247329_h30,30,1,3.37,264,-5.69,185,11.0,-13.0,3.2,2.4
F15V4_20121221_h30,30,1,1.16,788,0.52,471,11.0,3.0,9.6,6.0
M1B4_330273_h30,30,1,1.86,478,-2.81,705,11.0,-25.0,5.8,9.0
F15V4_8954495_h30,30,1,1.41,569,-6.59,299,10.0,-25.0,6.9,3.8
F15V4_11197001_h30,30,1,1.4,589,1.22,846,10.0,13.0,7.2,10.8
F15V4_12_h30,30,1,1.59,515,-1.11,826,10.0,-12.0,6.3,10.6
F15I3_105691_h15,15,-1,2.87,274,-5.45,511,10.0,-36.0,3.3,6.6
M1B3_13222_h30,30,1,2.87,295,1.74,1271,10.0,28.0,3.6,16.3
M1B3_11912_h30,30,1,4.57,176,-6.4,466,10.0,-38.0,2.1,6.0
F05I4_5087135_h15,15,-1,0.92,913,-2.21,1502,10.0,-43.0,11.1,19.3
F05V4_6686885_h15,15,1,0.54,1469,-2.43,981,10.0,-31.0,17.9,12.6
F15I4_5082527_h5,5,-1,1.73,496,-3.24,915,10.0,-38.0,6.0,11.7
F05I4_5303709_h5,5,-1,1.35,587,-4.15,1145,10.0,-61.0,7.2,14.7
M1B3_12609_h30,30,-1,0.53,1608,-4.82,2123,10.0,-131.0,19.6,27.2
F05I3_41469_h15,15,-1,1.25,665,-9.05,1040,10.0,-121.0,8.1,13.3
F15I3_101083_h5,5,-1,1.49,543,-5.0,821,10.0,-53.0,6.6,10.5
M1B4_324861_h30,30,1,5.5,148,-18.73,278,10.0,-67.0,1.8,3.6
F15I4_5081375_h15,15,1,2.52,323,-5.04,626,10.0,-40.0,3.9,8.0
F15I4_5082623_h15,15,-1,1.68,510,-5.54,807,10.0,-57.0,6.2,10.3
M1B4_115412_h15,15,1,5.46,147,3.2,796,10.0,33.0,1.8,10.2
M1B4_137951_h15,15,1,3.84,210,1.6,386,10.0,8.0,2.6,4.9
F15V4_13058422_h15,15,1,3.44,242,2.11,702,10.0,19.0,3.0,9.0
F05I4_5087109_h15,15,-1,1.61,487,-7.0,900,10.0,-81.0,5.9,11.5
F15V4_11163311_h5,5,1,1.09,722,-2.77,1032,10.0,-37.0,8.8,13.2
F15V3_372761_h30,30,-1,1.23,674,1.13,426,10.0,6.0,8.2,5.5
F15V4_26684603_h15,15,-1,0.71,1170,-4.5,1995,10.0,-115.0,14.3,25.6
F15V3_181366_h30,30,1,1.89,454,4.13,1059,10.0,56.0,5.5,13.6
M1B3_12323_h15,15,-1,2.19,381,-6.05,601,10.0,-47.0,4.6,7.7
M1B3_6022_h30,30,1,3.71,212,3.38,1100,10.0,48.0,2.6,14.1
F15V4_11163275_h15,15,-1,1.45,562,-5.66,881,10.0,-64.0,6.9,11.3
F15V3_92009_h30,30,1,1.16,687,-3.28,331,10.0,-14.0,8.4,4.2
F15V3_184019_h30,30,1,0.98,837,5.19,583,10.0,39.0,10.2,7.5
F15I3_54045_h30,30,-1,0.88,816,-11.21,1268,9.0,-182.0,10.0,16.3
F15I4_5082623_h5,5,-1,1.39,544,-5.71,895,9.0,-66.0,6.6,11.5
F15I3_110585_h15,15,-1,1.54,488,-2.3,613,9.0,-18.0,6.0,7.9
F15V3_152051_h30,30,1,0.84,873,-10.26,343,9.0,-45.0,10.6,4.4
F15I4_4634179_h5,5,-1,1.89,378,-9.88,532,9.0,-67.0,4.6,6.8
F15I4_2201155_h5,5,1,1.94,401,-1.82,620,9.0,-14.0,4.9,7.9
F05I3_109243_h5,5,1,1.0,714,-4.63,1117,9.0,-66.0,8.7,14.3
F15V4_26686367_h30,30,-1,1.24,605,-3.93,457,9.0,-23.0,7.4,5.9
F05I3_96569_h15,15,-1,1.02,709,0.12,1048,9.0,2.0,8.6,13.4
F05I3_109217_h15,15,1,0.67,1060,0.15,1623,9.0,3.0,12.9,20.8
F15I3_98800_h15,15,-1,2.6,292,-9.4,1243,9.0,-150.0,3.6,15.9
F15I3_50657_h15,15,-1,1.43,524,-1.81,750,9.0,-17.0,6.4,9.6
F05V3_134798_h15,15,1,1.65,471,-3.64,1388,9.0,-65.0,5.7,17.8
F15I3_110471_h15,15,-1,1.25,597,-8.63,1029,9.0,-114.0,7.3,13.2
M1B4_331713_h30,30,1,1.45,487,-2.02,787,9.0,-20.0,5.9,10.1
F15I3_42354_h5,5,1,3.03,246,-3.66,1042,9.0,-49.0,3.0,13.4
M1B4_74817_h15,15,1,3.24,229,-2.14,173,9.0,-5.0,2.8,2.2
F15I4_2202403_h15,15,-1,2.43,295,-1.03,465,9.0,-6.0,3.6,6.0
F15I3_40221_h5,5,-1,1.14,673,-1.11,1059,9.0,-15.0,8.2,13.6
F05I4_5085981_h15,15,-1,0.91,778,-4.75,1439,9.0,-88.0,9.5,18.4
F15V3_370169_h15,15,1,1.51,489,-7.71,272,9.0,-27.0,6.0,3.5
F05I4_4800089_h15,15,-1,1.11,636,-6.08,1005,9.0,-78.0,7.8,12.9
F15I4_2377727_h15,15,-1,2.2,334,5.36,492,9.0,34.0,4.1,6.3
F15V3_62208_h30,30,1,0.84,859,-1.29,1617,9.0,-27.0,10.5,20.7
F05V3_36801_h15,15,1,0.92,705,0.57,413,8.0,3.0,8.6,5.3
M1B3_13439_h30,30,-1,1.02,667,-2.84,620,8.0,-23.0,8.1,7.9
F15V3_333856_h15,15,1,2.75,240,-3.06,596,8.0,-23.0,2.9,7.6
F15V3_3626_h15,15,1,2.5,262,-2.85,553,8.0,-20.0,3.2,7.1
M1B3_4499_h30,30,-1,1.56,415,-0.58,268,8.0,-2.0,5.1,3.4
F15I4_2432925_h5,5,-1,1.58,418,-5.58,773,8.0,-55.0,5.1,9.9
F15V3_120923_h30,30,1,1.05,659,-2.85,362,8.0,-13.0,8.0,4.6
M1B3_5108_h15,15,1,2.92,213,-3.74,1131,8.0,-54.0,2.6,14.5
M1B3_4810_h15,15,1,5.91,106,-2.73,624,8.0,-22.0,1.3,8.0
M1B4_324861_h15,15,1,4.18,152,-6.3,285,8.0,-23.0,1.9,3.7
M1B3_5693_h15,15,1,1.44,442,-4.71,335,8.0,-20.0,5.4,4.3
M1B4_107903_h15,15,1,2.61,246,-3.47,163,8.0,-7.0,3.0,2.1
M1B4_274079_h15,15,-1,2.36,277,-7.83,151,8.0,-15.0,3.4,1.9
M1B4_130161_h15,15,-1,2.05,319,-2.43,498,8.0,-16.0,3.9,6.4
F15I4_4634273_h15,15,1,1.39,450,6.14,664,8.0,52.0,5.5,8.5
F15I4_5087205_h15,15,-1,1.78,346,-1.76,682,8.0,-15.0,4.2,8.7
F15I4_5303805_h15,15,1,2.23,298,-3.03,527,8.0,-20.0,3.6,6.8
F15I3_44831_h15,15,-1,1.06,640,-4.81,884,8.0,-55.0,7.8,11.3
F15V4_10977083_h30,30,1,0.75,844,-7.32,1272,8.0,-119.0,10.3,16.3
F05I3_40319_h15,15,1,0.59,1156,-2.11,1698,8.0,-46.0,14.1,21.8
F15I3_54047_h15,15,-1,0.55,1143,-4.39,1686,8.0,-95.0,13.9,21.6
F05I4_5253023_h5,5,-1,0.85,771,-6.32,1337,8.0,-108.0,9.4,17.1
F15I4_2373117_h5,5,1,1.89,350,-1.48,706,8.0,-13.0,4.3,9.1
F15I3_95395_h15,15,-1,0.51,1233,-7.37,1840,8.0,-174.0,15.0,23.6
F05V4_10784764_h15,15,1,1.67,417,3.53,879,8.0,40.0,5.1,11.3
F05V3_360287_h15,15,-1,1.51,422,-3.35,1273,8.0,-55.0,5.1,16.3
F05I3_21299_h15,15,1,0.56,1155,-4.36,632,8.0,-35.0,14.1,8.1
F15I3_19208_h15,15,1,1.32,503,-3.56,889,8.0,-41.0,6.1,11.4
F15I3_44729_h15,15,-1,1.07,628,-8.75,1053,8.0,-118.0,7.7,13.5
F05I4_2654205_h5,5,-1,1.25,550,-5.32,919,8.0,-63.0,6.7,11.8
M1B4_60004_h15,15,1,3.97,155,-8.18,246,8.0,-26.0,1.9,3.2
F15V4_20186934_h15,15,1,1.78,360,-2.59,611,8.0,-20.0,4.4,7.8
M1B4_91170_h15,15,1,3.41,195,-4.46,217,8.0,-12.0,2.4,2.8
M1B4_158675_h15,15,-1,4.2,152,-8.73,276,8.0,-31.0,1.9,3.5
F15V3_261242_h15,15,1,2.8,216,-2.82,555,7.0,-20.0,2.6,7.1
F05I4_2373117_h15,15,-1,0.56,990,-5.47,1676,7.0,-118.0,12.1,21.5
F15V4_26624159_h15,15,1,1.03,552,-1.43,282,7.0,-5.0,6.7,3.6
M1B3_13427_h15,15,1,1.56,366,-6.89,270,7.0,-24.0,4.5,3.5
F15I4_2432997_h15,15,1,1.23,479,-6.57,754,7.0,-64.0,5.8,9.7
F15I4_2373119_h15,15,1,1.15,533,1.88,891,7.0,21.0,6.5,11.4
M1B4_324575_h15,15,1,0.69,775,-5.37,1392,7.0,-96.0,9.5,17.8
F15I4_5087229_h15,15,-1,1.62,358,-6.51,561,7.0,-47.0,4.4,7.2
F15I4_4574273_h5,5,-1,1.07,545,-6.57,741,7.0,-62.0,6.6,9.5
F05I4_2432999_h15,15,-1,0.67,860,-3.67,1299,7.0,-61.0,10.5,16.7
M1B3_13208_h15,15,-1,4.42,136,-9.48,747,7.0,-91.0,1.7,9.6
F15I4_2654181_h5,5,1,1.8,321,-0.96,460,7.0,-6.0,3.9,5.9
F15I3_101083_h15,15,-1,1.14,509,-6.07,777,7.0,-60.0,6.2,10.0
F15I3_40867_h15,15,-1,1.21,485,-10.72,303,7.0,-42.0,5.9,3.9
F15V4_11010779_h30,30,-1,0.67,815,-4.79,1175,7.0,-72.0,9.9,15.1
M1B3_4607_h30,30,-1,0.69,813,-5.94,694,7.0,-53.0,9.9,8.9
F15V3_181366_h15,15,1,1.0,541,1.88,1291,7.0,31.0,6.6,16.6
M1B3_4499_h15,15,-1,1.22,437,-3.92,274,7.0,-14.0,5.3,3.5
F15V3_370607_h30,30,1,0.52,1062,-4.55,780,7.0,-46.0,13.0,10.0
F15V3_308411_h30,30,1,0.64,844,-1.21,581,7.0,-9.0,10.3,7.4
M1B4_296013_h15,15,-1,0.98,604,-4.16,947,7.0,-51.0,7.4,12.1
F15V4_26839691_h15,15,1,1.63,377,-0.53,568,7.0,-4.0,4.6,7.3
M1B4_129821_h15,15,1,1.74,316,-0.88,243,7.0,-3.0,3.9,3.1
M1B4_165503_h15,15,-1,2.79,205,-3.64,206,7.0,-10.0,2.5,2.6
F15I4_4578977_h15,15,-1,1.32,438,-8.1,691,7.0,-72.0,5.3,8.9
F15I3_96569_h5,5,-1,1.48,361,2.21,543,7.0,15.0,4.4,7.0
F15I4_5247263_h15,15,1,1.13,482,-3.78,814,7.0,-39.0,5.9,10.4
F15I4_4800067_h15,15,1,1.02,586,-3.07,842,7.0,-33.0,7.1,10.8
M1B3_3994_h15,15,1,4.6,126,-6.42,536,7.0,-44.0,1.5,6.9
M1B3_11620_h15,15,1,1.86,294,-4.2,637,7.0,-34.0,3.6,8.2
M1B3_11728_h15,15,1,3.85,155,-6.02,507,7.0,-39.0,1.9,6.5
M1B4_323697_h15,15,1,3.44,177,-2.33,284,7.0,-8.0,2.2,3.6
M1B3_5747_h15,15,1,1.27,378,1.16,631,6.0,9.0,4.6,8.1
M1B3_13373_h15,15,1,1.95,250,-1.61,161,6.0,-3.0,3.0,2.1
M1B3_4806_h15,15,1,4.28,119,-1.61,394,6.0,-8.0,1.5,5.1
F15V4_24412745_h15,15,-1,0.93,524,0.15,316,6.0,1.0,6.4,4.1
F05V3_154901_h5,5,1,1.28,383,-0.25,1122,6.0,-4.0,4.7,14.4
F15I3_55199_h15,15,-1,0.37,1307,-1.39,1872,6.0,-33.0,15.9,24.0
F15I3_110493_h15,15,-1,0.36,1304,-5.4,1965,6.0,-136.0,15.9,25.2
F05I3_35319_h15,15,1,0.59,895,0.02,468,6.0,0.0,10.9,6.0
F15V3_149824_h15,15,1,2.04,227,1.47,476,6.0,9.0,2.8,6.1
M1B4_331391_h15,15,-1,2.07,241,-2.28,248,6.0,-7.0,2.9,3.2
F15I4_2433023_h15,15,1,0.64,735,-2.05,1060,6.0,-28.0,9.0,13.6
F15V4_24416633_h15,15,1,1.29,382,1.99,552,6.0,14.0,4.7,7.1
M1B4_331427_h15,15,-1,2.01,256,-4.08,394,6.0,-21.0,3.1,5.1
M1B4_324767_h15,15,1,2.15,222,4.52,200,6.0,12.0,2.7,2.6
F05I3_110393_h15,15,-1,0.65,768,-7.89,1138,6.0,-115.0,9.4,14.6
F05I4_2145955_h5,5,-1,0.59,770,-6.7,1345,6.0,-116.0,9.4,17.2
F15I4_4634177_h15,15,-1,1.2,435,-9.14,657,6.0,-77.0,5.3,8.4
M1B3_13435_h30,30,1,0.89,577,-7.75,355,6.0,-35.0,7.0,4.6
M1B3_13060_h15,15,1,2.34,201,-2.39,408,6.0,-13.0,2.5,5.2
M1B3_5409_h30,30,-1,0.22,1805,-9.04,2280,5.0,-264.0,22.0,29.2
F15V4_26873417_h30,30,-1,0.45,864,-7.58,1220,5.0,-119.0,10.5,15.6
F15V4_26625023_h30,30,1,0.52,856,-3.87,590,5.0,-29.0,10.4,7.6
M1B3_13805_h15,15,1,1.3,289,-5.88,190,5.0,-14.0,3.5,2.4
F05V4_13185503_h15,15,1,0.32,1171,-3.45,859,5.0,-38.0,14.3,11.0
F15V3_152891_h30,30,1,0.29,1530,-5.09,2066,5.0,-135.0,18.7,26.5
F15V3_323450_h15,15,-1,1.93,215,-6.54,1244,5.0,-104.0,2.6,15.9
F15V3_74498_h15,15,1,1.71,251,-5.35,636,5.0,-44.0,3.1,8.2
F05V4_26656121_h15,15,-1,0.39,975,-3.9,1297,5.0,-65.0,11.9,16.6
M1B3_5359_h15,15,-1,1.33,278,-2.3,183,5.0,-5.0,3.4,2.3
M1B3_5467_h15,15,-1,1.38,279,-6.56,224,5.0,-19.0,3.4,2.9
F15I4_5253023_h5,5,-1,0.95,453,-3.19,689,5.0,-28.0,5.5,8.8
F15I4_2431749_h5,5,-1,1.41,289,-4.11,573,5.0,-30.0,3.5,7.3
M1B3_12772_h15,15,1,2.93,146,-1.55,316,5.0,-6.0,1.8,4.1
F05V3_108790_h15,15,1,0.67,557,-3.82,1039,5.0,-51.0,6.8,13.3
F15I4_1980067_h15,15,-1,0.64,671,-7.06,992,5.0,-90.0,8.2,12.7
F05I3_40199_h15,15,1,0.49,863,-6.3,1258,5.0,-102.0,10.5,16.1
M1B4_322559_h15,15,-1,1.68,255,0.0,259,5.0,0.0,3.1,3.3
M1B4_323649_h15,15,1,1.65,244,-4.21,430,5.0,-23.0,3.0,5.5
M1B4_86838_h15,15,1,1.79,231,-4.89,345,5.0,-22.0,2.8,4.4
M1B4_130175_h15,15,1,1.82,219,-3.85,393,5.0,-19.0,2.7,5.0
F15I3_44637_h5,5,-1,0.85,522,-5.42,740,5.0,-51.0,6.4,9.5
M1B3_13473_h30,30,-1,0.82,544,-3.62,775,5.0,-36.0,6.6,9.9
M1B3_4708_h30,30,1,0.8,533,-5.75,993,5.0,-73.0,6.5,12.7
F05I4_1924769_h15,15,-1,0.37,1149,-6.8,1735,5.0,-151.0,14.0,22.2
F15V3_183131_h15,15,1,0.54,762,-5.45,563,5.0,-39.0,9.3,7.2
F15V3_365398_h15,15,1,1.11,336,-1.79,825,5.0,-19.0,4.1,10.6
M1B3_6907_h30,30,1,0.66,668,-3.76,518,5.0,-25.0,8.1,6.6
F15V4_10600732_h5,5,1,1.65,259,2.09,541,5.0,14.0,3.2,6.9
F15V4_26653097_h5,5,1,1.02,390,-3.16,632,5.0,-26.0,4.8,8.1
M1B3_4820_h15,15,1,1.36,293,-1.39,1497,5.0,-27.0,3.6,19.2
M1B3_4808_h15,15,1,0.83,500,-2.0,1983,5.0,-51.0,6.1,25.4
F05V3_321408_h15,15,1,1.1,392,-2.69,1320,5.0,-46.0,4.8,16.9
F05V4_10917065_h15,15,1,0.45,814,-2.94,559,4.0,-21.0,9.9,7.2
M1B3_13475_h15,15,-1,0.63,583,-1.93,836,4.0,-21.0,7.1,10.7
M1B3_4006_h15,15,1,0.95,338,-3.28,1058,4.0,-44.0,4.1,13.6
M1B3_12513_h15,15,-1,0.71,415,-2.98,284,4.0,-11.0,5.1,3.6
F05V3_151431_h15,15,1,0.43,811,-4.39,1073,4.0,-60.0,9.9,13.8
F15V3_74462_h15,15,1,0.95,356,-4.6,1008,4.0,-59.0,4.3,12.9
M1B3_5709_h30,30,-1,0.29,1123,-6.5,1606,4.0,-134.0,13.7,20.6
F15V3_152451_h5,5,-1,1.6,223,-6.27,513,4.0,-41.0,2.7,6.6
F05V3_147194_h5,5,-1,0.58,495,-4.22,2143,4.0,-116.0,6.0,27.5
F15V4_8957915_h15,15,1,0.51,577,-0.72,429,4.0,-4.0,7.0,5.5
F15V3_262850_h15,15,1,0.68,470,-2.42,503,4.0,-16.0,5.7,6.4
F15V3_367988_h5,5,-1,1.43,214,-5.15,1087,4.0,-72.0,2.6,13.9
F05V3_151433_h15,15,1,0.4,908,-3.01,791,4.0,-31.0,11.1,10.1
F15I3_45883_h15,15,-1,0.44,730,-4.52,1118,4.0,-65.0,8.9,14.3
M1B3_13757_h15,15,1,1.34,249,-2.07,171,4.0,-5.0,3.0,2.2
F05I4_5082527_h15,15,-1,0.38,852,-5.35,1574,4.0,-108.0,10.4,20.2
F15I3_55173_h5,5,-1,0.5,601,-1.65,1057,4.0,-22.0,7.3,13.6
F15I4_1979995_h15,15,1,0.52,599,-4.08,748,4.0,-39.0,7.3,9.6
F05I3_105863_h5,5,-1,0.39,888,-4.43,1782,4.0,-101.0,10.8,22.8
F05I4_5253119_h15,15,-1,0.32,1048,-6.52,1477,4.0,-123.0,12.8,18.9
F15I3_44729_h5,5,-1,0.5,684,-7.08,1174,4.0,-107.0,8.3,15.1
F15I3_109055_h5,5,1,0.61,577,-3.71,446,4.0,-21.0,7.0,5.7
F15V4_24221692_h5,5,1,1.06,303,2.07,746,4.0,20.0,3.7,9.6
F15V4_24416633_h5,5,1,0.78,396,-0.65,578,4.0,-5.0,4.8,7.4
F05I4_5082525_h2,2,-1,0.63,540,-3.86,1116,4.0,-55.0,6.6,14.3
F15V3_185723_h30,30,1,0.36,904,-3.39,637,4.0,-28.0,11.0,8.2
F15I3_55199_h30,30,-1,0.26,1115,-4.45,1546,4.0,-88.0,13.6,19.8
F15I4_2142403_h5,5,-1,0.76,318,-3.11,554,3.0,-22.0,3.9,7.1
F15I4_4575425_h5,5,-1,0.93,292,-4.97,460,3.0,-29.0,3.6,5.9
F15V3_370175_h15,15,-1,0.4,668,-4.27,396,3.0,-22.0,8.1,5.1
F15V4_11010779_h15,15,-1,0.29,949,-5.47,1418,3.0,-99.0,11.6,18.2
F15V3_369779_h30,30,1,0.2,1364,-3.37,679,3.0,-29.0,16.6,8.7
F15V4_24416597_h5,5,1,0.49,463,-0.17,651,3.0,-1.0,5.6,8.3
F05V4_13433903_h15,15,-1,0.26,864,-4.16,1276,3.0,-68.0,10.5,16.4
F15I3_105863_h5,5,-1,0.4,578,0.79,1032,3.0,10.0,7.0,13.2
F15I4_5027231_h5,5,-1,0.57,416,-5.01,770,3.0,-49.0,5.1,9.9
F15I3_38800_h5,5,-1,1.15,210,-3.36,1054,3.0,-45.0,2.6,13.5
F15I3_104829_h5,5,-1,0.34,681,-2.39,1247,3.0,-38.0,8.3,16.0
F05V3_249854_h15,15,1,0.46,553,-3.04,1227,3.0,-48.0,6.7,15.7
F15V4_26839721_h15,15,-1,0.26,1006,-8.13,1500,3.0,-156.0,12.3,19.2
M1B3_10029_h15,15,1,0.55,418,-0.99,296,3.0,-4.0,5.1,3.8
F05V4_26653061_h15,15,1,0.23,947,-1.01,1489,3.0,-19.0,11.5,19.1
M1B3_13435_h15,15,1,0.3,641,-4.72,380,2.0,-23.0,7.8,4.9
F15I3_48332_h5,5,-1,0.64,252,-5.37,1330,2.0,-92.0,3.1,17.1
F05I3_42258_h2,2,1,0.43,435,-0.94,1697,2.0,-20.0,5.3,21.8
F15I4_2141371_h5,5,1,0.54,285,-4.76,503,2.0,-31.0,3.5,6.4
