tag,side,entry_ts,exit_ts,entry_px,exit_px,stop_px,target_px,exit_reason,hold_bars_actual,pnl_pts,pnl_usd
HTF_60m_BR20_S100_T200,SHORT,2026-02-02 03:00:00+00:00,2026-02-02 07:00:00+00:00,25254.124,25236.103,25354.124,25054.124,timeout,4,18.02100000000064,35.30200000000128
HTF_60m_BR20_S100_T200,SHORT,2026-02-02 04:00:00+00:00,2026-02-02 08:00:00+00:00,25166.603,25267.103,25266.603,24966.603,stop,4,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-02-02 16:00:00+00:00,2026-02-02 20:00:00+00:00,25727.239,25741.357,25627.239,25927.239,timeout,4,14.117999999998574,27.49599999999715
HTF_60m_BR20_S100_T200,LONG,2026-02-02 18:00:00+00:00,2026-02-02 20:00:00+00:00,25812.299,25711.799,25712.299,26012.299,stop,2,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-02-03 00:00:00+00:00,2026-02-03 04:00:00+00:00,25838.472,25869.091,25738.472,26038.472,timeout,4,30.618999999998778,60.49799999999755
HTF_60m_BR20_S100_T200,LONG,2026-02-03 08:00:00+00:00,2026-02-03 12:00:00+00:00,25902.806,25871.7,25802.806,26102.806,timeout,4,-31.105999999999767,-62.951999999999536
HTF_60m_BR20_S100_T200,SHORT,2026-02-03 15:00:00+00:00,2026-02-03 17:00:00+00:00,25520.613,25320.613,25620.613,25320.613,target,2,200.0,399.26
HTF_60m_BR20_S100_T200,SHORT,2026-02-03 16:00:00+00:00,2026-02-03 17:00:00+00:00,25508.755,25308.755,25608.755,25308.755,target,1,200.0,399.26
HTF_60m_BR20_S100_T200,SHORT,2026-02-03 18:00:00+00:00,2026-02-03 23:00:00+00:00,25277.222,25324.233,25377.222,25077.222,timeout,4,-47.0109999999986,-94.7619999999972
HTF_60m_BR20_S100_T200,SHORT,2026-02-03 19:00:00+00:00,2026-02-03 20:00:00+00:00,25138.727,25239.227,25238.727,24938.727,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2026-02-04 15:00:00+00:00,2026-02-04 16:00:00+00:00,25089.488,24889.488,25189.488,24889.488,target,1,200.0,399.26
HTF_60m_BR20_S100_T200,SHORT,2026-02-04 16:00:00+00:00,2026-02-04 17:00:00+00:00,25046.117,24846.117,25146.117,24846.117,target,1,200.0,399.26
HTF_60m_BR20_S100_T200,SHORT,2026-02-04 17:00:00+00:00,2026-02-04 18:00:00+00:00,24929.289,24729.289,25029.289,24729.289,target,1,200.0,399.26
HTF_60m_BR20_S100_T200,SHORT,2026-02-04 18:00:00+00:00,2026-02-04 19:00:00+00:00,24769.882,24870.382,24869.882,24569.882,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2026-02-05 16:00:00+00:00,2026-02-05 17:00:00+00:00,24534.988,24635.488,24634.988,24334.988,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2026-02-06 00:00:00+00:00,2026-02-06 01:00:00+00:00,24243.239,24343.739,24343.239,24043.239,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-02-06 17:00:00+00:00,2026-02-06 20:00:00+00:00,24912.711,25112.711,24812.711,25112.711,target,3,200.0,399.26
