n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
1281,1.8,35.7,-3.9,-2.13,3378.0,-0.82,-24.0,13,4,ZMOM60z3.0_s13.0-15.0_with50_S20.0T60.0,zs
1897,2.6,38.9,-6.1,-2.31,5317.0,-1.16,-23.4,13,4,MA9x30_s13.0-15.0_with50_S20.0T60.0,ma
1284,1.9,40.6,-2.7,-1.42,2768.0,-0.6,-17.7,13,5,MA20x60_s13.0-15.0_with50_S20.0T60.0,ma
10665,13.7,37.1,-42.3,-3.08,33125.0,-3.4,-90.8,13,1,TF60b5.0_s13.0-15.0_with60_S20.0T60.0,tf
10391,13.4,37.4,-37.0,-2.76,29270.0,-3.04,-55.5,13,1,TF120b8.0_s13.0-15.0_with120_S20.0T60.0,tf
6723,8.7,44.1,-18.1,-2.08,14345.0,-1.77,-78.0,13,4,FADE5w3_s13.0-15.0_with50_S30.0T60.0,imp
5722,7.4,43.7,-20.8,-2.81,16248.0,-2.15,-94.7,13,4,FADE8w3_s13.0-15.0_with50_S30.0T60.0,imp
1063,1.7,45.2,-4.6,-2.72,3475.0,-1.0,-22.9,13,5,ZFADE20z2.0_s13.0-15.0_with50_S30.0T60.0,zs
8162,10.5,43.8,-21.0,-2.0,17000.0,-1.67,-63.2,13,2,MOM5w3_s13.0-15.0_with50_S30.0T60.0,imp
7394,9.5,42.9,-24.6,-2.58,19222.0,-2.09,-64.8,13,2,MOM8w3_s13.0-15.0_with50_S30.0T60.0,imp
3588,4.6,42.6,-10.9,-2.34,10103.0,-1.28,-43.3,13,4,ZMOM20z2.0_s13.0-15.0_with50_S30.0T60.0,zs
3638,4.7,43.4,-9.0,-1.92,7444.0,-1.04,-31.8,13,2,ZMOM60z2.0_s13.0-15.0_with50_S30.0T60.0,zs
1214,1.8,42.3,-4.4,-2.52,4280.0,-0.81,-27.0,13,4,ZMOM60z3.0_s13.0-15.0_with50_S30.0T60.0,zs
1854,2.6,44.4,-5.8,-2.26,6018.0,-1.02,-22.2,13,6,MA9x30_s13.0-15.0_with50_S30.0T60.0,ma
1273,1.9,46.3,-1.7,-0.91,2400.0,-0.33,-19.3,13,5,MA20x60_s13.0-15.0_with50_S30.0T60.0,ma
9299,12.0,43.1,-34.0,-2.84,26628.0,-2.54,-85.5,13,1,TF60b5.0_s13.0-15.0_with60_S30.0T60.0,tf
9052,11.7,43.7,-27.0,-2.31,21421.0,-2.14,-57.7,13,1,TF120b8.0_s13.0-15.0_with120_S30.0T60.0,tf
12429,16.0,37.2,-41.9,-2.61,32819.0,-3.9,-78.4,13,0,FADE5w3_s13.0-15.0_anti50_S15.0T30.0,imp
11209,14.5,36.5,-42.5,-2.94,33055.0,-4.17,-88.8,13,1,FADE8w3_s13.0-15.0_anti50_S15.0T30.0,imp
4575,5.9,38.6,-14.6,-2.47,11724.0,-2.33,-49.7,13,2,ZFADE20z2.0_s13.0-15.0_anti50_S15.0T30.0,zs
5725,7.4,36.0,-24.0,-3.24,19218.0,-3.26,-57.3,13,1,ZFADE60z2.0_s13.0-15.0_anti50_S15.0T30.0,zs
1699,2.5,34.9,-8.6,-3.49,6347.0,-2.07,-28.8,13,2,ZFADE60z3.0_s13.0-15.0_anti50_S15.0T30.0,zs
8704,11.2,36.3,-38.6,-3.44,30482.0,-5.04,-76.1,13,1,MOM5w3_s13.0-15.0_anti50_S15.0T30.0,imp
7319,9.5,35.2,-35.4,-3.72,27557.0,-4.77,-61.6,13,0,MOM8w3_s13.0-15.0_anti50_S15.0T30.0,imp
1118,1.8,37.7,-5.0,-2.82,3178.0,-1.51,-23.5,13,2,ZMOM20z2.0_s13.0-15.0_anti50_S15.0T30.0,zs
1727,2.3,39.4,-4.3,-1.87,3687.0,-1.2,-15.2,13,4,MA9x30_s13.0-15.0_anti50_S15.0T30.0,ma
543,1.3,40.1,-3.6,-2.72,1758.0,-1.35,-16.2,13,4,MA20x60_s13.0-15.0_anti50_S15.0T30.0,ma
10448,13.5,39.3,-41.7,-3.1,33107.0,-3.54,-76.3,13,0,FADE5w3_s13.0-15.0_anti50_S20.0T40.0,imp
9520,12.3,39.4,-33.9,-2.76,27070.0,-3.01,-81.1,13,0,FADE8w3_s13.0-15.0_anti50_S20.0T40.0,imp
