name,family,tf,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
R3BO_5min_time20h0_all,R3BO,5min,2792,17.9,9.0,-155.9,719.0,-11873.0,51.0
R3BO_5min_time20h0_rth,R3BO,5min,1463,9.4,20.9,-79.8,1675.0,-6077.0,51.1
R3BO_5min_time20h12_all,R3BO,5min,6489,41.6,-95.6,-114.2,-7645.0,-8692.0,17.4
R3BO_5min_time20h12_rth,R3BO,5min,3849,24.7,-43.8,-96.9,-3504.0,-7379.0,13.8
R3BO_5min_time60h0_all,R3BO,5min,1243,8.0,50.0,-56.3,4000.0,-4285.0,50.5
R3BO_5min_time60h0_rth,R3BO,5min,749,4.8,56.8,-34.1,4541.0,-2596.0,50.7
R3BO_5min_time60h12_all,R3BO,5min,4317,27.6,-19.0,-118.2,-1518.0,-9002.0,10.3
R3BO_5min_time60h12_rth,R3BO,5min,2851,18.3,11.2,-76.4,894.0,-5816.0,9.3
R3BO_5min_time120h0_all,R3BO,5min,768,4.9,84.3,-54.9,6745.0,-4181.0,50.7
R3BO_5min_time120h0_rth,R3BO,5min,491,3.1,110.6,-63.1,8850.0,-4807.0,52.1
R3BO_5min_time120h12_all,R3BO,5min,3564,22.8,10.0,-78.2,803.0,-5951.0,7.3
R3BO_5min_time120h12_rth,R3BO,5min,2588,16.6,50.7,-64.9,4057.0,-4942.0,7.7
R3BO_5min_trail2.0h0_all,R3BO,5min,5126,32.8,-228.2,-439.9,-18259.0,-33493.0,33.6
R3BO_5min_trail2.0h0_rth,R3BO,5min,2480,15.9,-131.6,-245.7,-10528.0,-18706.0,33.9
R3BO_5min_trail2.0h12_all,R3BO,5min,8018,51.4,-288.2,-416.0,-23056.0,-31676.0,20.1
R3BO_5min_trail2.0h12_rth,R3BO,5min,4383,28.1,-132.0,-219.6,-10561.0,-16722.0,17.2
R3BO_5min_trail3.5h0_all,R3BO,5min,2091,13.4,-58.2,-156.9,-4658.0,-11948.0,35.0
R3BO_5min_trail3.5h0_rth,R3BO,5min,1118,7.2,2.2,-74.9,173.0,-5706.0,37.7
R3BO_5min_trail3.5h12_all,R3BO,5min,5025,32.2,-76.0,-144.7,-6080.0,-11018.0,13.9
R3BO_5min_trail3.5h12_rth,R3BO,5min,3141,20.1,-7.6,-92.3,-605.0,-7029.0,12.0
ENGX_5min_time20h0_all,ENGX,5min,2111,13.5,-44.9,-7.5,-3592.0,-571.0,48.6
ENGX_5min_time20h0_rth,ENGX,5min,762,4.9,-43.2,5.2,-3455.0,398.0,49.9
ENGX_5min_time20h12_all,ENGX,5min,2462,15.8,-26.2,-48.4,-2092.0,-3682.0,21.0
ENGX_5min_time20h12_rth,ENGX,5min,903,5.8,-6.5,10.4,-516.0,790.0,15.1
ENGX_5min_time60h0_all,ENGX,5min,1518,9.7,12.0,4.0,963.0,308.0,49.9
ENGX_5min_time60h0_rth,ENGX,5min,602,3.9,-5.5,-88.0,-438.0,-6704.0,50.8
ENGX_5min_time60h12_all,ENGX,5min,2282,14.6,-49.6,-32.4,-3967.0,-2466.0,12.5
ENGX_5min_time60h12_rth,ENGX,5min,884,5.7,-15.8,2.6,-1265.0,202.0,10.1
ENGX_5min_time120h0_all,ENGX,5min,1072,6.9,-36.2,59.6,-2892.0,4537.0,48.2
ENGX_5min_time120h0_rth,ENGX,5min,550,3.5,10.3,-69.2,823.0,-5272.0,49.3
ENGX_5min_time120h12_all,ENGX,5min,2147,13.8,-60.3,34.7,-4822.0,2642.0,7.9
ENGX_5min_time120h12_rth,ENGX,5min,881,5.6,-21.5,14.1,-1717.0,1071.0,8.3
ENGX_5min_trail2.0h0_all,ENGX,5min,2472,15.8,-122.2,-184.1,-9777.0,-14015.0,33.4
ENGX_5min_trail2.0h0_rth,ENGX,5min,874,5.6,-61.6,-125.3,-4924.0,-9542.0,33.8
ENGX_5min_trail2.0h12_all,ENGX,5min,2540,16.3,-86.1,-139.0,-6885.0,-10585.0,24.0
ENGX_5min_trail2.0h12_rth,ENGX,5min,914,5.9,-22.9,-50.8,-1834.0,-3870.0,20.1
ENGX_5min_trail3.5h0_all,ENGX,5min,2072,13.3,-143.2,44.5,-11453.0,3386.0,34.8
