name,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
DON15min_lb12_late_tr2,863,5.5,-103.8,-82.8,-8301.0,-6303.0,37.9
DON15min_lb16_std_t40,704,4.5,112.4,160.5,8992.0,12224.0,54.1
DON15min_lb16_std_t80,671,4.3,17.3,4.7,1382.0,362.0,53.1
DON15min_lb16_std_t120,371,2.4,-9.8,106.0,-782.0,8072.0,54.7
DON15min_lb16_std_tr2,1166,7.5,-143.1,-97.4,-11448.0,-7417.0,36.1
DON15min_lb16_wide_t40,753,4.8,166.0,-145.9,13278.0,-11113.0,53.0
DON15min_lb16_wide_t80,731,4.7,152.4,-122.2,12196.0,-9302.0,52.8
DON15min_lb16_wide_t120,382,2.4,108.4,33.7,8670.0,2565.0,55.5
DON15min_lb16_wide_tr2,1624,10.4,-188.9,-217.2,-15112.0,-16538.0,34.2
DON15min_lb16_late_t40,604,3.9,-0.6,2.1,-48.0,156.0,48.5
DON15min_lb16_late_t80,583,3.7,-52.0,-43.6,-4162.0,-3322.0,49.1
DON15min_lb16_late_t120,337,2.2,-63.0,-178.9,-5042.0,-13624.0,46.3
DON15min_lb16_late_tr2,759,4.9,-103.3,-25.3,-8261.0,-1923.0,37.9
DON15min_lb20_std_t40,689,4.4,116.0,128.3,9282.0,9768.0,54.3
DON15min_lb20_std_t80,651,4.2,18.2,77.9,1458.0,5934.0,53.1
DON15min_lb20_std_t120,366,2.3,-46.8,57.5,-3746.0,4382.0,54.1
DON15min_lb20_std_tr2,1086,7.0,-131.2,-113.0,-10497.0,-8606.0,36.0
DON15min_lb20_wide_t40,750,4.8,140.0,-120.4,11200.0,-9168.0,52.9
DON15min_lb20_wide_t80,727,4.7,113.4,-142.3,9074.0,-10834.0,52.0
DON15min_lb20_wide_t120,381,2.4,110.6,-5.3,8847.0,-405.0,55.9
DON15min_lb20_wide_tr2,1521,9.7,-181.5,-227.8,-14518.0,-17348.0,34.0
DON15min_lb20_late_t40,562,3.6,15.3,-32.0,1224.0,-2438.0,49.5
DON15min_lb20_late_t80,541,3.5,-13.7,-11.1,-1093.0,-848.0,48.8
DON15min_lb20_late_t120,319,2.0,3.2,-72.6,259.0,-5524.0,50.8
DON15min_lb20_late_tr2,682,4.4,-87.2,-37.3,-6975.0,-2840.0,38.3
DON30min_lb8_std_t40,640,4.1,47.4,-16.1,3795.0,-1222.0,52.2
DON30min_lb8_std_t80,364,2.3,16.3,24.1,1306.0,1836.0,53.3
DON30min_lb8_std_t120,248,1.6,14.1,106.1,1127.0,8082.0,54.0
DON30min_lb8_std_tr2,979,6.3,-130.4,-77.1,-10432.0,-5874.0,36.7
DON30min_lb8_wide_t40,711,4.6,195.0,-80.9,15598.0,-6162.0,53.4
DON30min_lb8_wide_t80,379,2.4,36.2,147.8,2896.0,11254.0,54.4
DON30min_lb8_wide_t120,255,1.6,-75.4,-165.0,-6036.0,-12566.0,50.2
DON30min_lb8_wide_tr2,1323,8.5,-192.6,-226.7,-15410.0,-17265.0,33.3
DON30min_lb8_late_t40,544,3.5,-0.1,-28.7,-10.0,-2186.0,49.6
DON30min_lb8_late_t80,323,2.1,-40.8,-37.8,-3260.0,-2880.0,50.5
DON30min_lb8_late_t120,228,1.5,-0.7,-11.0,-58.0,-834.0,53.9
DON30min_lb8_late_tr2,652,4.2,-72.5,-44.5,-5796.0,-3387.0,38.5
DON30min_lb12_std_t40,594,3.8,49.9,-4.2,3992.0,-318.0,52.4
DON30min_lb12_std_t80,349,2.2,31.7,18.4,2538.0,1402.0,51.3
DON30min_lb12_std_t120,241,1.5,-3.2,80.4,-254.0,6125.0,50.6
DON30min_lb12_std_tr2,853,5.5,-115.4,-82.5,-9234.0,-6281.0,36.0
DON30min_lb12_wide_t40,686,4.4,157.1,-95.0,12570.0,-7236.0,51.7
DON30min_lb12_wide_t80,376,2.4,35.4,-59.0,2828.0,-4494.0,52.9
DON30min_lb12_wide_t120,253,1.6,-65.1,131.9,-5211.0,10047.0,51.4
DON30min_lb12_wide_tr2,1160,7.4,-169.4,-215.7,-13554.0,-16426.0,32.7
DON30min_lb12_late_t40,464,3.0,3.2,-54.9,252.0,-4180.0,49.4
DON30min_lb12_late_t80,294,1.9,-21.0,-97.0,-1684.0,-7386.0,50.3
DON30min_lb12_late_t120,212,1.4,-20.8,59.0,-1660.0,4492.0,50.0
DON30min_lb12_late_tr2,540,3.5,-62.4,-44.7,-4993.0,-3406.0,38.5
DON30min_lb16_std_t40,581,3.7,35.7,54.9,2858.0,4177.0,53.0
DON30min_lb16_std_t80,345,2.2,-13.6,67.9,-1084.0,5166.0,52.2
DON30min_lb16_std_t120,238,1.5,-41.2,48.8,-3296.0,3714.0,49.6
DON30min_lb16_std_tr2,815,5.2,-113.0,-78.6,-9043.0,-5987.0,36.3
DON30min_lb16_wide_t40,669,4.3,105.1,-21.2,8412.0,-1614.0,51.9
DON30min_lb16_wide_t80,373,2.4,4.7,67.9,372.0,5174.0,53.6
DON30min_lb16_wide_t120,250,1.6,-32.2,140.4,-2572.0,10692.0,50.8
DON30min_lb16_wide_tr2,1105,7.1,-165.0,-204.6,-13199.0,-15582.0,32.4
DON30min_lb16_late_t40,456,2.9,-0.1,-65.7,-5.0,-5006.0,49.1
DON30min_lb16_late_t80,288,1.8,-22.3,-134.2,-1786.0,-10222.0,49.3
DON30min_lb16_late_t120,211,1.4,-27.3,47.6,-2184.0,3624.0,50.2
DON30min_lb16_late_tr2,521,3.3,-61.8,-51.9,-4943.0,-3948.0,38.6
DON30min_lb20_std_t40,563,3.6,40.1,10.3,3208.0,787.0,52.4
DON30min_lb20_std_t80,339,2.2,33.7,118.0,2694.0,8986.0,54.6
DON30min_lb20_std_t120,237,1.5,-46.6,95.9,-3726.0,7304.0,49.4
DON30min_lb20_std_tr2,786,5.0,-111.8,-89.0,-8943.0,-6774.0,36.6
DON30min_lb20_wide_t40,654,4.2,111.2,-63.4,8898.0,-4829.0,51.4
DON30min_lb20_wide_t80,367,2.4,-30.5,14.1,-2440.0,1077.0,52.0
DON30min_lb20_wide_t120,249,1.6,-34.5,188.1,-2762.0,14324.0,52.2
DON30min_lb20_wide_tr2,1072,6.9,-163.0,-214.0,-13042.0,-16294.0,32.9
DON30min_lb20_late_t40,441,2.8,3.7,-94.7,299.0,-7210.0,49.0
DON30min_lb20_late_t80,284,1.8,-15.7,-141.0,-1259.0,-10738.0,49.6
DON30min_lb20_late_t120,209,1.3,-18.8,51.7,-1504.0,3933.0,52.2
DON30min_lb20_late_tr2,502,3.2,-57.8,-71.6,-4622.0,-5453.0,38.6
