n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
51873,56.2,42.6,-124.6,-2.22,115622.0,-5.21,-321.6,13,0,FADE_imp12w3_s20.0t40.0,imp
99023,106.6,40.3,-292.0,-2.74,271326.0,-12.72,-556.1,13,0,FADE_imp12w5_s10.0t15.0,imp
86289,92.9,33.5,-267.8,-2.88,248946.0,-11.28,-529.0,13,0,FADE_imp12w5_s10.0t25.0,imp
77481,83.4,30.7,-244.4,-2.93,227675.0,-10.24,-534.5,13,0,FADE_imp12w5_s10.0t40.0,imp
86516,93.1,48.6,-229.0,-2.46,212819.0,-10.4,-479.8,13,0,FADE_imp12w5_s15.0t15.0,imp
74364,80.0,41.3,-208.1,-2.6,193513.0,-8.5,-445.7,13,0,FADE_imp12w5_s15.0t25.0,imp
66334,71.4,38.3,-185.4,-2.6,172988.0,-7.8,-399.7,13,0,FADE_imp12w5_s15.0t40.0,imp
78297,84.3,53.4,-190.4,-2.26,177211.0,-8.21,-398.7,13,0,FADE_imp12w5_s20.0t15.0,imp
66950,72.1,45.9,-178.0,-2.47,165568.0,-7.52,-376.8,13,0,FADE_imp12w5_s20.0t25.0,imp
59764,64.3,42.9,-145.2,-2.26,135601.0,-6.18,-318.3,13,0,FADE_imp12w5_s20.0t40.0,imp
139950,149.2,40.1,-438.4,-2.94,411446.0,-15.72,-753.2,13,0,MOM_imp5w3_s10.0t15.0,imp
120690,128.7,34.8,-379.1,-2.95,355718.0,-14.0,-639.8,13,0,MOM_imp5w3_s10.0t25.0,imp
109776,117.0,32.8,-349.2,-2.98,327925.0,-12.64,-604.8,13,0,MOM_imp5w3_s10.0t40.0,imp
120379,128.3,47.3,-327.3,-2.55,307593.0,-12.82,-585.8,13,0,MOM_imp5w3_s15.0t15.0,imp
103535,110.4,41.4,-284.4,-2.58,267161.0,-11.25,-490.3,13,0,MOM_imp5w3_s15.0t25.0,imp
93883,100.1,39.4,-242.9,-2.43,228560.0,-9.18,-441.9,13,0,MOM_imp5w3_s15.0t40.0,imp
109411,116.6,51.1,-264.4,-2.27,248610.0,-10.7,-487.4,13,0,MOM_imp5w3_s20.0t15.0,imp
94223,100.5,45.0,-236.4,-2.35,222330.0,-9.29,-434.7,13,0,MOM_imp5w3_s20.0t25.0,imp
85904,91.6,42.6,-203.7,-2.22,191878.0,-7.59,-427.1,13,0,MOM_imp5w3_s20.0t40.0,imp
