name,mode,imp,W,stop,tgt,htf,n,tr_day,wr,per_day,per_trade,maxDD,sharpe
FADE_i3.0_w3_s25.0_t12.0_htf30,fade,3.0,3,25.0,12.0,30,6365,92.2,57.0,-234.4,-2.54,16197.0,-11.1
FADE_i3.0_w3_s25.0_t12.0_htf60,fade,3.0,3,25.0,12.0,60,6532,94.7,58.1,-181.9,-1.92,12708.0,-10.37
FADE_i3.0_w3_s25.0_t20.0_htf0,fade,3.0,3,25.0,20.0,0,8726,126.5,51.2,-257.6,-2.04,17912.0,-8.17
FADE_i3.0_w3_s25.0_t20.0_htf30,fade,3.0,3,25.0,20.0,30,5750,83.3,49.9,-231.9,-2.78,16041.0,-9.14
FADE_i3.0_w3_s25.0_t20.0_htf60,fade,3.0,3,25.0,20.0,60,5938,86.1,51.1,-160.2,-1.86,11070.0,-7.69
FADE_i3.0_w3_s25.0_t35.0_htf0,fade,3.0,3,25.0,35.0,0,7647,110.8,47.7,-178.5,-1.61,12591.0,-6.8
FADE_i3.0_w3_s25.0_t35.0_htf30,fade,3.0,3,25.0,35.0,30,5357,77.6,46.4,-184.4,-2.37,12708.0,-6.97
FADE_i3.0_w3_s25.0_t35.0_htf60,fade,3.0,3,25.0,35.0,60,5517,80.0,47.0,-150.3,-1.88,10516.0,-6.94
FADE_i3.0_w3_s25.0_t50.0_htf0,fade,3.0,3,25.0,50.0,0,7304,105.9,46.4,-193.1,-1.82,13679.0,-6.86
FADE_i3.0_w3_s25.0_t50.0_htf30,fade,3.0,3,25.0,50.0,30,5209,75.5,45.3,-191.7,-2.54,13374.0,-7.08
FADE_i3.0_w3_s25.0_t50.0_htf60,fade,3.0,3,25.0,50.0,60,5370,77.8,46.0,-146.0,-1.88,10337.0,-6.75
MOM_i3.0_w3_s8.0_t12.0_htf0,momentum,3.0,3,8.0,12.0,0,15525,225.0,37.5,-833.2,-3.7,57618.0,-21.94
MOM_i3.0_w3_s8.0_t12.0_htf30,momentum,3.0,3,8.0,12.0,30,11725,169.9,37.7,-608.6,-3.58,42057.0,-22.91
MOM_i3.0_w3_s8.0_t12.0_htf60,momentum,3.0,3,8.0,12.0,60,11215,162.5,37.3,-616.6,-3.79,42584.0,-22.29
MOM_i3.0_w3_s8.0_t20.0_htf0,momentum,3.0,3,8.0,20.0,0,13362,193.7,31.0,-697.2,-3.6,48310.0,-20.46
