name,sel_usd_wk,sel_tr_wk,sel_per,sel_pos,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
PDHR_all_t60_s0,157.0,19.4,8.09,56,-204.0,12.7,-16.07,-1992.0,50
NTBF_rth_t30_s0,155.0,17.9,8.65,56,802.0,11.8,68.26,557.0,100
MOMF_k30_a3.0_rth_t30_s0,154.0,53.4,2.88,56,-1194.0,53.2,-22.42,-2960.0,0
PDHR_all_t30_s0,153.0,26.7,5.75,56,-694.0,17.0,-40.8,-1992.0,33
VSPKF_rth_t30_s0,121.0,19.2,6.29,67,822.0,12.5,65.73,446.0,100
ORB30_all_t30_s0,120.0,17.6,6.85,67,-57.0,13.5,-4.19,-1084.0,50
MOMF_k3_a3.0_all_t60_s0,118.0,46.4,2.53,44,60.0,29.3,2.03,-2451.0,33
PDHF_all_t30_s0,113.0,23.6,4.78,67,-338.0,16.2,-20.94,-2478.0,67
DON20F_rth_t30_s0,111.0,50.3,2.2,78,-175.0,49.2,-3.55,-548.0,25
MOMR_k15_a3.0_rth_t60_s15,108.0,88.2,1.23,56,-530.0,121.8,-4.35,-1396.0,25
MOMF_k5_a3.0_rth_t30_s0,107.0,24.1,4.46,78,-452.0,23.2,-19.43,-843.0,25
RSI2R_rth_t15_s15,101.0,199.2,0.51,67,-777.0,246.2,-3.16,-2368.0,25
MOMF_k30_a1.5_rth_t30_s0,89.0,65.1,1.36,67,252.0,61.8,4.09,-600.0,75
PDHF_all_t60_s0,87.0,18.7,4.68,44,75.0,11.8,6.35,-2488.0,67
MOMR_k5_a1.5_rth_t60_s0,85.0,32.9,2.59,56,-102.0,32.2,-3.17,-1456.0,50
PDHF_rth_t30_s0,75.0,9.0,8.35,67,201.0,7.2,27.67,-396.0,75
RUNR_rth_t30_s0,70.0,59.6,1.17,44,-29.0,56.0,-0.52,-914.0,25
PDHR_all_t60_s15,68.0,35.1,1.92,56,-429.0,25.5,-16.82,-1992.0,33
MOMR_k3_a3.0_rth_t15_s0,68.0,15.2,4.49,67,-214.0,13.8,-15.53,-1526.0,50
PDHF_all_t15_s0,67.0,29.3,2.29,78,-428.0,19.8,-21.55,-2406.0,33
VSPKF_all_t30_s0,66.0,81.2,0.82,56,327.0,43.7,7.49,-1393.0,50
MOMR_k30_a3.0_rth_t15_s0,66.0,87.3,0.76,56,672.0,88.0,7.63,-912.0,75
PDHR_rth_t30_s0,66.0,10.4,6.33,56,-274.0,7.0,-39.07,-897.0,50
ORB30_rth_t30_s0,64.0,15.7,4.06,67,-12.0,11.2,-1.08,-1094.0,75
VSPKR_rth_t60_s0,63.0,16.6,3.81,67,-891.0,11.2,-79.23,-1592.0,0
RUNF_rth_t60_s0,63.0,32.7,1.94,56,155.0,31.2,4.97,-1196.0,75
PDHR_all_t5_s0,60.0,52.7,1.13,44,-400.0,32.0,-12.5,-1992.0,50
Z60R_rth_t60_s0,59.0,27.3,2.16,56,-738.0,26.0,-28.4,-2194.0,25
VSPKF_all_t60_s0,57.0,61.7,0.92,44,-40.0,32.8,-1.21,-1461.0,67
PDHR_rth_t5_s0,54.0,20.1,2.68,78,-29.0,13.8,-2.08,-308.0,50
MOMR_k3_a3.0_rth_t5_s0,49.0,16.2,3.01,44,-534.0,15.5,-34.43,-1436.0,0
MOMR_k3_a3.0_all_t15_s0,47.0,62.6,0.75,56,256.0,42.3,6.04,-2236.0,67
MOMR_k5_a3.0_rth_t60_s15,47.0,41.6,1.14,67,-226.0,51.0,-4.44,-894.0,50
MOMF_k30_a1.5_rth_t60_s0,42.0,36.0,1.17,44,1275.0,34.5,36.96,-427.0,75
MOMF_k30_a1.5_all_t60_s0,42.0,106.7,0.39,67,-642.0,71.5,-8.98,-3626.0,50
DON60F_all_t30_s0,42.0,110.0,0.39,56,-794.0,75.0,-10.59,-2366.0,17
MOMF_k3_a3.0_rth_t60_s0,31.0,12.3,2.52,67,428.0,12.0,35.68,244.0,100
PDHF_rth_t60_s0,30.0,7.0,4.35,67,475.0,5.8,82.65,-338.0,75
PDHR_all_t15_s15,25.0,44.7,0.57,44,-377.0,30.2,-12.49,-1992.0,50
MOMR_k3_a3.0_all_t5_s0,22.0,66.8,0.34,44,-86.0,49.3,-1.75,-1796.0,17
PDHF_rth_t15_s15,15.0,17.3,0.86,56,6.0,13.0,0.45,-232.0,50
BBR_rth_t60_s15,13.0,67.9,0.2,44,-730.0,80.5,-9.07,-1070.0,0
BBF_rth_t60_s0,12.0,26.6,0.45,44,783.0,24.0,32.62,457.0,100
PDHR_rth_t15_s0,6.0,13.7,0.41,56,-588.0,10.0,-58.79,-791.0,0
NTBF_rth_t15_s0,5.0,18.4,0.29,56,246.0,12.2,20.09,-177.0,50
MOMR_k5_a1.5_rth_t15_s0,5.0,97.4,0.05,67,-276.0,95.2,-2.9,-1926.0,50
PDHR_all_t30_s15,3.0,38.4,0.07,44,-396.0,27.5,-14.41,-1992.0,17
MOMF_k3_a1.5_all_t60_s0,-3.0,98.3,-0.03,33,-727.0,66.0,-11.02,-4022.0,33
