dt,S,ngp,flip,pin,flip_dist
2026-03-12,597.8299999999999,-6050784.292877603,,600.0,
2026-03-13,593.1,-15679011.26826033,365.0,593.0,0.38458944528747263
2026-03-16,600.6899999999999,-3974903.087232443,,601.0,
2026-03-17,603.79,-8974838.375250537,,604.0,
2026-03-18,595.18,-7277863.211127426,300.0,595.0,0.4959508047985483
2026-03-19,593.7600000000001,3719548.959381956,594.0,594.0,-0.0004042037186740356
2026-03-20,582.56,-4173299.8287742487,,583.0,
2026-03-23,588.84,-3405901.8222488402,,589.0,
2026-03-24,584.89,-14721492.571582275,,585.0,
2026-03-25,588.37,-5693209.714952789,295.0,589.0,0.49861481720685963
2026-03-26,576.18,2868295.0147028803,578.0,576.0,-0.0031587351174980913
2026-03-27,562.99,523895.80287170276,562.0,563.0,0.0017584681788309013
