per_day,total,sharpe,maxDD,pos_yrs,n_yrs,n,worst_yr,tf,combo,logic,sess,exit
-137.1,-106516.0,-9.74,106879.0,0,4,27365,-43508.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st10/20/0
-85.3,-66297.0,-6.38,67107.0,0,4,21229,-25952.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st10/40/0
-59.6,-46463.0,-4.09,47158.0,0,4,17720,-18666.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st10/60/0
-124.8,-97316.0,-7.04,97608.0,0,4,23143,-44777.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st20/20/0
-69.8,-54287.0,-4.19,54926.0,0,4,16134,-23820.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st20/40/0
-41.9,-32639.0,-2.42,33935.0,0,4,12710,-11077.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st20/60/0
-103.1,-80424.0,-5.25,80460.0,0,4,20076,-39355.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st30/20/0
-45.1,-35071.0,-2.4,36850.0,1,4,13138,-14939.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st30/40/0
-42.6,-33212.0,-2.21,33379.0,0,4,10079,-12260.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,st30/60/0
-111.3,-86837.0,-5.74,86638.0,0,4,9388,-31720.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,trail0/0/2.0
-36.4,-28370.0,-1.7,29651.0,0,4,4852,-10729.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,trail0/0/3.0
10.1,7837.0,0.42,6306.0,3,4,2331,-1888.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,trail0/0/5.0
15.4,11928.0,0.86,4272.0,3,4,774,-1167.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,eod0/0/0
-77.6,-60048.0,-8.39,60598.0,0,4,15288,-23374.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st10/20/0
-45.1,-34979.0,-4.69,36034.0,0,4,12020,-12549.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st10/40/0
-32.0,-24779.0,-2.83,25484.0,0,4,10142,-8590.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st10/60/0
-73.2,-56730.0,-5.97,56804.0,0,4,13080,-25420.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st20/20/0
-34.3,-26593.0,-2.81,27115.0,0,4,9250,-14012.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st20/40/0
-20.9,-16160.0,-1.55,17195.0,0,4,7411,-7619.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st20/60/0
-62.2,-48220.0,-4.56,48247.0,0,4,11517,-23216.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st30/20/0
-27.1,-20994.0,-1.94,23277.0,2,4,7668,-11182.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st30/40/0
-20.5,-15865.0,-1.43,16026.0,0,4,6002,-8602.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,st30/60/0
-57.3,-44425.0,-3.86,44236.0,0,4,4787,-18891.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,trail0/0/2.0
-10.8,-8380.0,-0.64,11481.0,1,4,2564,-3770.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,trail0/0/3.0
