name,imp,W,pull,stop,tgt,htf,n,tr_day,per_day,maxDD,sharpe,worst_block,trend_pd,chop_pd,blocks
i4.0_w3_p0.118_s12.0_t30.0_htf20,4.0,3,0.118,12.0,30.0,20,6331,91.8,39.8,6861.0,1.33,-111.6,84.9,18.6,"[np.float64(-30.3), np.float64(-89.9), np.float64(-111.6), np.float64(-65.9), np.float64(469.2), np.float64(51.6)]"
i4.0_w3_p0.118_s12.0_t30.0_htf40,4.0,3,0.118,12.0,30.0,40,6954,100.8,-19.8,9204.0,-0.6,-206.3,114.8,-82.8,"[np.float64(-198.6), np.float64(-206.3), np.float64(-73.8), np.float64(-114.1), np.float64(426.6), np.float64(42.8)]"
i4.0_w3_p0.118_s12.0_t44.0_htf0,4.0,3,0.118,12.0,44.0,0,9690,140.4,40.3,7132.0,0.97,-132.2,-84.3,98.6,"[np.float64(-122.2), np.float64(-94.7), np.float64(-132.2), np.float64(-82.5), np.float64(480.9), np.float64(175.5)]"
i4.0_w3_p0.118_s12.0_t44.0_htf20,4.0,3,0.118,12.0,44.0,20,6151,89.1,-6.7,6372.0,-0.24,-116.9,9.7,-14.3,"[np.float64(-36.9), np.float64(-116.9), np.float64(-81.6), np.float64(-41.1), np.float64(351.7), np.float64(-116.9)]"
i4.0_w3_p0.118_s12.0_t44.0_htf40,4.0,3,0.118,12.0,44.0,40,6766,98.1,-107.6,11678.0,-3.27,-317.1,16.4,-165.7,"[np.float64(-317.1), np.float64(-280.3), np.float64(-109.3), np.float64(-72.1), np.float64(253.9), np.float64(-99.9)]"
i4.0_w3_p0.236_s5.0_t20.0_htf0,4.0,3,0.236,5.0,20.0,0,11149,161.6,41.9,7113.0,1.23,-181.9,18.0,53.1,"[np.float64(260.1), np.float64(-181.9), np.float64(-152.8), np.float64(-81.1), np.float64(511.1), np.float64(-120.9)]"
i4.0_w3_p0.236_s5.0_t20.0_htf20,4.0,3,0.236,5.0,20.0,20,6977,101.1,-91.9,7672.0,-4.92,-204.3,-127.8,-75.1,"[np.float64(-84.4), np.float64(-109.5), np.float64(-171.1), np.float64(-137.3), np.float64(166.7), np.float64(-204.3)]"
i4.0_w3_p0.236_s5.0_t20.0_htf40,4.0,3,0.236,5.0,20.0,40,7667,111.1,-140.9,11061.0,-6.52,-231.4,-149.1,-137.0,"[np.float64(-218.2), np.float64(-200.5), np.float64(-137.6), np.float64(-230.4), np.float64(188.7), np.float64(-231.4)]"
i4.0_w3_p0.236_s5.0_t30.0_htf0,4.0,3,0.236,5.0,30.0,0,10735,155.6,205.6,3837.0,4.26,-163.1,105.4,252.5,"[np.float64(572.6), np.float64(-163.1), np.float64(-43.1), np.float64(81.6), np.float64(818.1), np.float64(-77.0)]"
i4.0_w3_p0.236_s5.0_t30.0_htf20,4.0,3,0.236,5.0,30.0,20,6833,99.0,-91.4,8303.0,-3.88,-268.3,-149.3,-64.3,"[np.float64(-64.7), np.float64(-100.6), np.float64(-204.0), np.float64(-105.8), np.float64(209.0), np.float64(-268.3)]"
i4.0_w3_p0.236_s5.0_t30.0_htf40,4.0,3,0.236,5.0,30.0,40,7544,109.3,-134.8,11043.0,-5.43,-283.8,-128.3,-137.9,"[np.float64(-216.3), np.float64(-207.1), np.float64(-154.1), np.float64(-179.6), np.float64(250.8), np.float64(-283.8)]"
i4.0_w3_p0.236_s5.0_t44.0_htf0,4.0,3,0.236,5.0,44.0,0,10274,148.9,287.9,3098.0,4.89,-137.5,118.5,367.1,"[np.float64(687.9), np.float64(-137.5), np.float64(114.3), np.float64(59.9), np.float64(901.9), np.float64(33.6)]"
i4.0_w3_p0.236_s5.0_t44.0_htf20,4.0,3,0.236,5.0,44.0,20,6739,97.7,-114.4,9782.0,-4.46,-327.7,-179.1,-84.2,"[np.float64(-111.4), np.float64(-115.8), np.float64(-229.1), np.float64(-104.2), np.float64(221.6), np.float64(-327.7)]"
i4.0_w3_p0.236_s5.0_t44.0_htf40,4.0,3,0.236,5.0,44.0,40,7443,107.9,-156.2,12575.0,-5.72,-312.5,-154.2,-157.2,"[np.float64(-275.2), np.float64(-224.3), np.float64(-154.3), np.float64(-158.6), np.float64(213.4), np.float64(-312.5)]"
i4.0_w3_p0.236_s8.0_t20.0_htf0,4.0,3,0.236,8.0,20.0,0,10853,157.3,-100.5,10059.0,-3.84,-241.8,-124.2,-89.4,"[np.float64(-33.8), np.float64(-230.9), np.float64(-190.2), np.float64(-241.8), np.float64(249.6), np.float64(-150.9)]"
i4.0_w3_p0.236_s8.0_t20.0_htf20,4.0,3,0.236,8.0,20.0,20,6719,97.4,-119.9,9438.0,-5.64,-199.7,-97.6,-130.3,"[np.float64(-175.3), np.float64(-155.4), np.float64(-152.1), np.float64(-160.7), np.float64(140.6), np.float64(-199.7)]"
i4.0_w3_p0.236_s8.0_t20.0_htf40,4.0,3,0.236,8.0,20.0,40,7349,106.5,-178.5,13532.0,-7.66,-314.9,-159.5,-187.3,"[np.float64(-306.0), np.float64(-253.2), np.float64(-116.2), np.float64(-314.9), np.float64(146.9), np.float64(-209.0)]"
i4.0_w3_p0.236_s8.0_t30.0_htf0,4.0,3,0.236,8.0,30.0,0,10406,150.8,27.6,7139.0,0.7,-245.2,-58.3,67.7,"[np.float64(195.3), np.float64(-188.3), np.float64(-106.8), np.float64(-185.0), np.float64(673.0), np.float64(-245.2)]"
i4.0_w3_p0.236_s8.0_t30.0_htf20,4.0,3,0.236,8.0,30.0,20,6521,94.5,-131.8,11207.0,-5.01,-321.8,-147.1,-124.7,"[np.float64(-132.9), np.float64(-148.4), np.float64(-199.9), np.float64(-133.8), np.float64(167.7), np.float64(-321.8)]"
i4.0_w3_p0.236_s8.0_t30.0_htf40,4.0,3,0.236,8.0,30.0,40,7167,103.9,-198.0,15060.0,-7.19,-317.6,-169.9,-211.1,"[np.float64(-294.4), np.float64(-274.4), np.float64(-188.2), np.float64(-246.5), np.float64(162.3), np.float64(-317.6)]"
i4.0_w3_p0.236_s8.0_t44.0_htf0,4.0,3,0.236,8.0,44.0,0,9879,143.2,116.9,4873.0,2.53,-175.7,-36.0,188.5,"[np.float64(242.0), np.float64(-175.7), np.float64(54.9), np.float64(-94.8), np.float64(764.1), np.float64(-126.3)]"
i4.0_w3_p0.236_s8.0_t44.0_htf20,4.0,3,0.236,8.0,44.0,20,6407,92.9,-159.4,13041.0,-5.81,-363.5,-177.5,-150.9,"[np.float64(-158.0), np.float64(-177.2), np.float64(-192.3), np.float64(-225.0), np.float64(181.0), np.float64(-363.5)]"
i4.0_w3_p0.236_s8.0_t44.0_htf40,4.0,3,0.236,8.0,44.0,40,7045,102.1,-218.7,16612.0,-7.71,-351.1,-186.5,-233.8,"[np.float64(-351.1), np.float64(-299.9), np.float64(-191.1), np.float64(-222.8), np.float64(131.3), np.float64(-342.7)]"
i4.0_w3_p0.236_s12.0_t20.0_htf0,4.0,3,0.236,12.0,20.0,0,10469,151.7,-282.1,20038.0,-10.19,-415.8,-290.8,-278.0,"[np.float64(-415.8), np.float64(-307.8), np.float64(-307.9), np.float64(-405.8), np.float64(5.7), np.float64(-224.3)]"
i4.0_w3_p0.236_s12.0_t20.0_htf20,4.0,3,0.236,12.0,20.0,20,6368,92.3,-132.5,10133.0,-5.92,-233.3,-96.3,-149.5,"[np.float64(-195.7), np.float64(-153.5), np.float64(-161.9), np.float64(-152.1), np.float64(121.8), np.float64(-233.3)]"
i4.0_w3_p0.236_s12.0_t20.0_htf40,4.0,3,0.236,12.0,20.0,40,6939,100.6,-180.4,13251.0,-7.16,-322.9,-175.1,-182.9,"[np.float64(-322.9), np.float64(-274.7), np.float64(-170.4), np.float64(-208.8), np.float64(110.6), np.float64(-188.4)]"
i4.0_w3_p0.236_s12.0_t30.0_htf0,4.0,3,0.236,12.0,30.0,0,9981,144.7,-164.8,14688.0,-4.53,-479.7,-242.2,-128.5,"[np.float64(-157.4), np.float64(-223.3), np.float64(-261.0), np.float64(-479.7), np.float64(413.7), np.float64(-279.7)]"
i4.0_w3_p0.236_s12.0_t30.0_htf20,4.0,3,0.236,12.0,30.0,20,6125,88.8,-113.3,10086.0,-4.36,-309.6,-98.6,-120.2,"[np.float64(-123.5), np.float64(-149.4), np.float64(-235.5), np.float64(-79.7), np.float64(239.5), np.float64(-309.6)]"
i4.0_w3_p0.236_s12.0_t30.0_htf40,4.0,3,0.236,12.0,30.0,40,6727,97.5,-196.4,14747.0,-6.55,-349.3,-130.8,-227.1,"[np.float64(-349.3), np.float64(-301.5), np.float64(-221.2), np.float64(-171.1), np.float64(200.1), np.float64(-300.6)]"
i4.0_w3_p0.236_s12.0_t44.0_htf0,4.0,3,0.236,12.0,44.0,0,9440,136.8,-80.7,10935.0,-2.19,-260.7,-257.2,1.9,"[np.float64(-47.0), np.float64(-227.1), np.float64(-125.6), np.float64(-260.7), np.float64(318.1), np.float64(-143.3)]"
