name,trades,wr,pnl,per_day,per_trade,trades_per_day,n_days,max_dd,worst_day,best_day,sharpe,tstat_signal
HTF_5m_MOMx5_FADE_S25_T50,9521,0.42810629135595,-22550.064000000195,-32.30668194842435,-2.368455414347253,13.640401146131806,698,-24232.470000006513,-837.5000000000196,875.9200000000001,-0.14656138288675477,
HTF_15m_MOMx2_FADE_S50_T100,27585,0.45546492659053833,-24693.597999999405,-32.5773060686008,-0.895182091716491,36.391820580474935,758,-30941.610000000885,-2027.8659999999602,2052.14,-0.0544540914995172,
HTF_30m_MR50_2.0std_S75_T150,4059,0.41488051244148805,-25022.145999999775,-40.488909385112905,-6.164608524267005,6.567961165048544,618,-31012.2440000029,-2742.3340000000057,1738.7920000000036,-0.06828254480688419,
HTF_5m_MR20_2.0std_S25_T50,18356,0.4335367182392678,-26513.397999999994,-36.121795640326965,-1.4443995423839613,25.00817438692098,734,-28503.922000012008,-978.2579999999751,980.5419999999949,-0.11792423504687002,
HTF_30m_MOMx2_FADE_S75_T150,13926,0.4522475944276892,-29253.14599999992,-39.16083801874153,-2.100613672267695,18.6425702811245,747,-30704.61800000098,-2886.439999999993,2267.4239999999945,-0.06292257085360174,
HTF_60m_MOMx2_FADE_S100_T200,7118,0.44605226187131214,-31444.441999999766,-43.015652530779434,-4.417595110986199,9.73734610123119,731,-39259.332000004295,-2626.84,2189.114000000001,-0.06861322764114085,
WEEKOPEN_SHORT_HOLD5d,82,0.32926829268292684,-32850.753999999986,-400.61895121951204,-400.61895121951204,1.0,82,-35635.797999999995,-4842.695999999998,5246.65,-0.27645043046414974,
HTF_5m_MR50_2.0std_S25_T50,23792,0.4266139878950908,-33866.26399999966,-47.49826647966292,-1.4234307330194882,33.36886395511922,713,-38943.13200001552,-1692.578000000006,1287.9200000000126,-0.10515885193714274,
HTF_5m_BR20_S25_T50,20645,0.41603293775732625,-35613.12200000054,-47.99612129380127,-1.7250240736256015,27.82345013477089,742,-37104.4120000143,-1266.7719999999865,1170.9359999999929,-0.14861525506597525,
HTF_15m_MOMx2_LONG_S50_T100,27585,0.4444081928584376,-44218.96000000102,-58.25949934123981,-1.6030074315751683,36.34387351778656,759,-59507.91799999585,-2163.969999999996,2622.775999999999,-0.08007393408810821,
HTF_5m_BR10_S25_T50,29592,0.416970802919708,-57813.588000000396,-76.17073517786613,-1.9536897810219112,38.98814229249012,759,-60715.96599998154,-1333.2300000000005,1359.6760000000168,-0.20534568409801157,
HTF_5m_MOMx3_LONG_S25_T50,40549,0.42097215714320946,-79005.40800000014,-104.50450793650812,-1.9483934992231655,53.636243386243386,756,-82756.21199999924,-1503.2139999999986,1659.9499999999946,-0.22302188839911413,
HTF_5m_MOMx3_FADE_S25_T50,40549,0.43377148634984836,-84564.97800000015,-111.7106710700134,-2.085500949468548,53.56538969616909,757,-87705.7440000215,-1402.0100000000414,1899.8799999999896,-0.2611012420706891,
HTF_5m_MOMx2_LONG_S25_T50,82846,0.4226154551819038,-176335.10800000012,-229.9023572359845,-2.1284685802573464,108.01303780964798,767,-178359.6959999958,-2329.981999999992,2129.0259999999626,-0.34812579708914504,
HTF_5m_MOMx2_FADE_S25_T50,82846,0.4308113849793593,-178855.4959999999,-233.1883911342893,-2.1588911474301704,108.01303780964798,767,-180465.3919999928,-2095.336000000047,2839.6579999999913,-0.4055932446785653,
