name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
R25F_3min_trail2.0_rth,3min,-419.0,72.9,-346.1,5812,37.2,-367.0,-473.5,-29360.0,-36052.0,33.5
DBLB_3min_time5_all,3min,-136.3,97.2,-39.1,7742,49.6,-169.0,-101.9,-13522.0,-7760.0,45.5
DBLB_3min_time5_rth,3min,-28.6,20.0,-8.6,1589,10.2,-38.3,-18.4,-3065.0,-1400.0,46.9
DBLB_3min_time15_all,3min,-102.9,68.0,-34.9,5413,34.7,-124.7,-79.9,-9976.0,-6081.0,47.0
DBLB_3min_time15_rth,3min,-7.7,15.5,7.8,1236,7.9,-25.3,10.8,-2022.0,823.0,48.1
DBLB_3min_time40_all,3min,-21.6,44.5,22.9,3544,22.7,-98.2,58.9,-7854.0,4486.0,48.4
DBLB_3min_time40_rth,3min,34.6,11.8,46.4,934,6.0,-42.3,115.3,-3382.0,8782.0,48.9
DBLB_3min_trail2.0_all,3min,-346.0,97.8,-248.2,7789,49.9,-382.5,-307.5,-30603.0,-23414.0,30.4
DBLB_3min_trail2.0_rth,3min,-107.8,20.4,-87.4,1617,10.4,-114.1,-101.2,-9127.0,-7704.0,31.8
PSMR_3min_time5_all,3min,-732.9,592.9,-140.0,47231,302.5,-726.7,-738.9,-58135.0,-56265.0,46.1
PSMR_3min_time5_rth,3min,-287.4,200.7,-86.7,15989,102.4,-263.2,-312.6,-21059.0,-23800.0,47.4
PSMR_3min_time15_all,3min,-305.9,249.1,-56.8,19843,127.1,-330.0,-280.4,-26402.0,-21354.0,47.3
PSMR_3min_time15_rth,3min,-132.9,85.1,-47.8,6772,43.4,-150.1,-114.8,-12005.0,-8741.0,47.6
PSMR_3min_time40_all,3min,-196.5,102.9,-93.6,8193,52.5,-218.0,-173.8,-17442.0,-13232.0,47.4
PSMR_3min_time40_rth,3min,-63.5,38.0,-25.5,3033,19.4,-101.2,-23.8,-8095.0,-1812.0,47.4
PSMR_3min_trail2.0_all,3min,-1885.0,442.0,-1443.0,35218,225.5,-1577.6,-2206.8,-126212.0,-168035.0,31.1
PSMR_3min_trail2.0_rth,3min,-941.3,147.6,-793.7,11754,75.3,-794.3,-1095.2,-63547.0,-83393.0,32.2
ONRB_3min_time5_all,3min,-87.0,120.7,33.7,9614,61.6,-99.7,-73.5,-7979.0,-5597.0,49.0
ONRB_3min_time5_rth,3min,-87.0,120.7,33.7,9614,61.6,-99.7,-73.5,-7979.0,-5597.0,49.0
ONRB_3min_time15_all,3min,8.8,55.9,64.7,4449,28.5,6.6,11.2,528.0,851.0,50.8
ONRB_3min_time15_rth,3min,8.8,55.9,64.7,4449,28.5,6.6,11.2,528.0,851.0,50.8
ONRB_3min_time40_all,3min,12.5,27.6,40.1,2197,14.1,36.5,-12.8,2924.0,-973.0,49.4
ONRB_3min_time40_rth,3min,12.5,27.6,40.1,2197,14.1,36.5,-12.8,2924.0,-973.0,49.4
ONRB_3min_trail2.0_all,3min,-321.5,79.2,-242.3,6311,40.4,-299.4,-344.6,-23949.0,-26237.0,34.4
ONRB_3min_trail2.0_rth,3min,-321.5,79.2,-242.3,6311,40.4,-299.4,-344.6,-23949.0,-26237.0,34.4
ONRF_3min_time5_all,3min,-216.1,120.7,-95.4,9614,61.6,-212.1,-220.1,-16966.0,-16760.0,47.3
ONRF_3min_time5_rth,3min,-216.1,120.7,-95.4,9614,61.6,-212.1,-220.1,-16966.0,-16760.0,47.3
ONRF_3min_time15_all,3min,-149.1,55.9,-93.2,4449,28.5,-151.1,-146.8,-12090.0,-11179.0,47.1
ONRF_3min_time15_rth,3min,-149.1,55.9,-93.2,4449,28.5,-151.1,-146.8,-12090.0,-11179.0,47.1
ONRF_3min_time40_all,3min,-81.7,27.6,-54.1,2197,14.1,-108.1,-54.0,-8645.0,-4115.0,49.2
ONRF_3min_time40_rth,3min,-81.7,27.6,-54.1,2197,14.1,-108.1,-54.0,-8645.0,-4115.0,49.2
